"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN34816_c0_g1_i1"	4.12331	14.7651	0.806683
"TRINITY_DN2639_c0_g1_i6"	16.9896	45.8394	8.08143
"TRINITY_DN2639_c0_g1_i3"	36.697	42.7537	2.97141
"TRINITY_DN1726_c0_g2_i7"	7.58011	7.86241	5.21758
"TRINITY_DN57651_c0_g2_i1"	2.29223	7.31539	1.24957
"TRINITY_DN7528_c0_g1_i4"	11.6731	15.3112	0.496116
"TRINITY_DN7528_c0_g1_i2"	1.98131	11.5926	0
"TRINITY_DN7528_c0_g1_i6"	27.4104	97.2561	0.20477
"TRINITY_DN7528_c0_g1_i5"	12.7999	48.066	0
"TRINITY_DN7528_c0_g2_i10"	31.4784	77.1363	0
"TRINITY_DN7528_c0_g2_i6"	13.0777	127.192	0.141334
"TRINITY_DN7528_c0_g2_i7"	10.5449	100.241	0
"TRINITY_DN7528_c0_g2_i9"	57.53	395.879	1.54833
"TRINITY_DN7528_c0_g2_i13"	43.5625	104.717	1.93005
"TRINITY_DN7528_c0_g2_i21"	22.491	108.543	0.514184
"TRINITY_DN7528_c0_g2_i4"	9.06475	60.7323	0
"TRINITY_DN14159_c1_g2_i1"	7.25689	15.9331	1.26603
"TRINITY_DN31409_c0_g1_i4"	2.49573	22.3231	0.172276
"TRINITY_DN73094_c1_g1_i3"	3.41415	4.43245	2.50859
"TRINITY_DN22437_c2_g1_i13"	1.43744	10.9234	0.294517
"TRINITY_DN5747_c0_g2_i5"	25.4629	51.7138	0
"TRINITY_DN5747_c0_g2_i1"	18.9646	118.306	0.321413
"TRINITY_DN81214_c0_g1_i1"	12.2346	85.8005	0.438363
"TRINITY_DN46942_c4_g1_i1"	5.57497	5.42553	1.59684
"TRINITY_DN12510_c0_g1_i20"	8.1181	10.1478	2.5816
"TRINITY_DN80462_c2_g1_i1"	2.6315	22.8787	0
"TRINITY_DN511_c2_g2_i1"	5.40715	6.30745	1.58977
"TRINITY_DN8859_c0_g1_i2"	2.85509	11.5169	1.84799
"TRINITY_DN2157_c23_g1_i2"	86.0208	312.969	0.662693
"TRINITY_DN2157_c2_g1_i4"	6.83204	31.3792	0
"TRINITY_DN2157_c0_g1_i18"	6.6587	21.5608	1.13818
"TRINITY_DN2157_c0_g1_i31"	11.5358	29.3088	0.138173
"TRINITY_DN2157_c0_g1_i3"	4.00389	23.3642	0
"TRINITY_DN2157_c0_g1_i12"	10.9728	25.9072	7.25058e-10
"TRINITY_DN2157_c0_g1_i6"	19.3866	56.8453	1.86905e-07
"TRINITY_DN2157_c0_g1_i4"	16.2701	16.8006	0.105279
"TRINITY_DN2157_c0_g1_i27"	1.95056	16.1593	0
"TRINITY_DN2157_c0_g1_i7"	10.3783	61.3008	0.594282
"TRINITY_DN2157_c0_g1_i17"	4.32336	13.5579	0
"TRINITY_DN76028_c0_g2_i1"	5.36336	6.91143	2.59129
"TRINITY_DN7025_c0_g1_i21"	21.5407	153.909	0.327618
"TRINITY_DN7025_c0_g1_i29"	3.82835	30.28	0
