,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-FAM,Hemato,32-B01,,0.712513079607558,-0.489011596916639,0.118789861692393,0.118828562245249,NaN,0.0839971167389028,0.0840244821622633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,19.1761742899838,0.241301703772524,0.170626071049419,NaN
,1-FAM,Hemato,32-B03,,3.1369262937671E-06,-18.2822169377729,5.98660214226915E-07,7.79443296543378E-07,NaN,4.23316697106443E-07,5.5114964053622E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,37.0268024950772,0.276216701692702,0.195314702843891,NaN
,1-FAM,Hemato,32-B04,,0.000608367954861106,-10.6827682169219,5.57824501173268E-05,7.94425494407449E-05,NaN,3.94441487491621E-05,5.61743654242983E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.4028285634047,0.132710445952193,0.0938404562670865,NaN
,1-FAM,Hemato,32-B06,,1.14698144626471E-06,-19.7337265150222,0,1.96993609723601E-07,NaN,0,1.96993609723601E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,38.4829964355875,0,0,NaN
,1-FAM,Hemato,32-B07,,0.0251302628685735,-5.31443042754128,0.000151820340914189,0.0011722323052958,NaN,0.000107353192582476,0.0008288934122006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,24.017165883643,0.00874393224413122,0.00618289378406089,NaN
,1-FAM,Hemato,32-B08,,6.62442252110149E-05,-13.8818457802141,5.67424172707295E-05,5.73040879844923E-05,NaN,4.01229480330495E-05,4.0520109203545E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,32.6122303034308,1.23974869824116,0.876634711493516,NaN
,1-FAM,Hemato,32-B09,,9.61379868547957E-06,-16.6664619758027,3.07355527189433E-06,3.37511940816982E-06,NaN,2.17333177510814E-06,2.3865698208312E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,35.405833111307,0.462721689047272,0.327193644127419,NaN
,1-FAM,Hemato,32-B12,,1.79020353365931E-06,-19.091444948143,1.13821155366853E-07,3.18492405161227E-07,NaN,8.04837108023894E-08,2.25208139445917E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,37.8386420748238,0.0920225857641133,0.0650697944161251,NaN
,1-FAM,Hemato,32-C01,,0.0966826167450033,-3.37059966915415,0.107095222129614,0.107132771979017,NaN,0.0757277578005297,0.0757543095536752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,22.0670619255934,1.60322897247148,1.13365407822932,NaN
,1-FAM,Hemato,32-C02,,0.0117807777021859,-6.40742140866643,0.00258332809436897,0.00266555629220675,NaN,0.00182668881355802,0.00188483292985386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,25.1136842040822,0.3173799290344,0.224421500032729,NaN
,1-FAM,Hemato,32-C03,,0.00734496516283152,-7.08902863656663,0.000282778355050531,0.000534161492770055,NaN,0.000199954492429008,0.000377709213786435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,25.7974911390369,0.0557224593837685,0.0394017288946547,NaN
,1-FAM,Hemato,32-C04,,0.413775007518128,-1.273081587482,0.0421685353193506,0.0424170305206508,NaN,0.0298176572770173,0.0299933699189489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,19.9627746590705,0.147502069638429,0.104299713680383,NaN
,1-FAM,Hemato,32-C05,,0.00278096419039033,-8.49019911699255,0.000115790615569551,0.00023587157483837,NaN,8.18763294669941E-05,0.000166786390057361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,27.2031835266026,0.0602631486233273,0.0426124810472075,NaN
,1-FAM,Hemato,32-C06,,0.000824558131821563,-10.2440911714728,4.63267943248211E-05,8.68951167830522E-05,NaN,3.27579904177154E-05,6.14441263292932E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,28.962735803814,0.0813176506777352,0.0575002622243854,NaN
,1-FAM,Hemato,32-C09,,7.63392110145238E-06,-16.9991442933198,4.64144187187686E-07,1.22108721447565E-06,NaN,3.28199502208731E-07,8.63439049775926E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,35.7395890730151,0.0879992764984916,0.0622248851515934,NaN
,1-FAM,Hemato,32-C12,,0.000740673149182107,-10.3988753418534,1.05419849301407E-05,6.78585534561021E-05,NaN,7.45430903126885E-06,4.79832433103197E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.1180194991668,0.0206001149091536,0.0145664809454846,NaN
,1-FAM,Hemato,32-D02,,1.69869690529663E-06,-19.1671401107008,5.51625811526017E-07,6.20154662529404E-07,NaN,3.90058352007579E-07,4.38515567258996E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,37.9145815234986,0.470005063316693,0.332343767463247,NaN
,1-FAM,Hemato,32-D06,,1.26467808719638E-06,-19.5927983631458,0,2.1565677341321E-07,NaN,0,2.1565677341321E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,38.3416134753741,0,0,NaN
,1-FAM,Hemato,32-D09,,1.35958822172436E-05,-16.1664707056304,3.54304188848457E-06,4.02648959854024E-06,NaN,2.50530894537543E-06,2.8471580995049E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,34.9042282515495,0.377174867217339,0.266702906302516,NaN
,1-FAM,Hemato,32-E03,,0.000124358065717656,-12.9732122974591,4.11632105522671E-05,4.34921687201725E-05,NaN,2.91067853169177E-05,3.07536074305434E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,31.7006644464283,0.479081206880009,0.338761570123889,NaN
,1-FAM,Hemato,32-E06,,1.69625381815559E-05,-15.8472884113775,4.08610928620759E-05,4.09280149389441E-05,NaN,2.88931558494671E-05,2.89404769038317E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,34.5840158808602,3.48652667708588,2.46534665615523,NaN
,1-FAM,Hemato,32-E07,,0.00324822870160353,-8.26613107114962,0.000107062860230659,0.000257045355840788,NaN,7.57048744823263E-05,0.00018175851418753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,26.9783923604039,0.0477052410743145,0.0337326994617868,NaN
,1-FAM,Hemato,32-E08,,3.03906115251712E-06,-18.3279428640113,2.9219521204637E-06,2.96189306825037E-06,NaN,2.06613215868229E-06,2.09437467370927E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,37.0726759896489,1.39157785489436,0.98399413774483,NaN
,1-FAM,Hemato,38-A03,,0.000453803634652559,-11.1056442155057,0.000121189712275106,0.000128883317143235,NaN,8.56940673597739E-05,9.11342675337976E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.8270692824304,0.386519703048892,0.273310703088082,NaN
,1-FAM,Hemato,38-G02,,5.545417413106E-06,-17.460272510713,6.89499276810835E-07,1.0888291716054E-06,NaN,4.87549614256162E-07,7.69918490795913E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,36.2022054597693,0.179958939821928,0.127250186683227,NaN
