,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G12,FAM,Hemato,Std-13,,184.120903134434,,Standard,Unassigned,False
,H01,FAM,Hemato,Unkn-36,31-H05,1127.43692942919,,Unknown,Unassigned,False
,H02,FAM,Hemato,Unkn-36,31-H05,929.404078548577,,Unknown,Unassigned,False
,H03,FAM,Hemato,Unkn-37,32-A07,1613.02358572496,,Unknown,Unassigned,False
,H04,FAM,Hemato,Unkn-37,32-A07,1507.54691602297,,Unknown,Unassigned,False
,H05,FAM,Hemato,Unkn-38,32-B09,275.295447002754,,Unknown,Unassigned,False
,H06,FAM,Hemato,Unkn-38,32-B09,405.875344947858,,Unknown,Unassigned,False
,H07,FAM,Hemato,Unkn-39,32-C12,1408.12910480848,,Unknown,Unassigned,False
,H08,FAM,Hemato,Unkn-39,32-C12,1386.56141889912,,Unknown,Unassigned,False
,H09,FAM,Hemato,Unkn-40,31-H02,2079.43903702409,,Unknown,Unassigned,False
,H10,FAM,Hemato,Unkn-40,31-H02,2288.01918490677,,Unknown,Unassigned,False
,H11,FAM,Hemato,NTC,,5.9422729332764,,NTC,Unassigned,False
,H12,FAM,Hemato,NTC,,49.1063425860757,,NTC,Unassigned,False
