"kMEblue"	"kMEcyan"	"kMEgreenyellow"	"kMEmagenta"	"kMEpurple"	"kMEtan"
"TRINITY_DN21478_c0_g1_i1"	-0.358716815222366	0.330438683793656	-0.114096059132812	-0.329903972887521	0.703101674984974	-0.634883856862098
"TRINITY_DN21505_c1_g1_i1"	0.819655002037753	-0.16516787896144	0.253140066328687	0.293659042925575	-0.754385538714574	0.58290921591677
"TRINITY_DN21499_c0_g1_i1"	0.680161071976181	-0.0515226108419331	-0.0538446980676774	0.612499005262923	-0.466230417751119	-0.0965082951818464
"TRINITY_DN21444_c0_g2_i1"	-0.475089965907332	0.123894223661653	-0.327001719067376	-0.356951157937037	0.843084111735202	-0.779112050702658
"TRINITY_DN21517_c0_g2_i1"	0.954903056746605	-0.305423417734553	0.365269903717637	0.453300505364327	-0.882389361984718	0.49509845316603
"TRINITY_DN21517_c0_g1_i1"	0.961537505112295	-0.206078235162078	0.354600657556274	0.389844027239075	-0.870309723026915	0.504314009946389
"TRINITY_DN21490_c0_g1_i1"	-0.779658311194992	-0.0207197815658965	-0.512878539031051	-0.555081229488525	0.904213802251712	-0.693632975388038
"TRINITY_DN21494_c1_g1_i2"	0.462301683761983	-0.372914382052374	0.367559883829939	0.161928106094476	-0.370240610348127	0.499854122511099
"TRINITY_DN21470_c0_g1_i1"	0.914824807554776	-0.292635088868746	0.364507008284192	0.565681265620603	-0.830538892342608	0.469028919923411
"TRINITY_DN21470_c1_g1_i1"	0.912644244215541	-0.308917051404975	0.354273235484842	0.591020179739156	-0.858389806305085	0.456204199868245
"TRINITY_DN21504_c1_g1_i1"	0.565713595044724	-0.204064854481252	0.337054884034714	0.769917676392116	-0.763606056237033	0.459141139402305
"TRINITY_DN5656_c0_g1_i3"	-0.155539106385114	0.487226942063821	-0.152890589405935	-0.153064441246332	0.383230802341244	-0.168817883323402
"TRINITY_DN5680_c0_g1_i1"	0.9794703280901	-0.277250768402191	0.354725259497965	0.282222395356137	-0.774003894370274	0.339004667439215
"TRINITY_DN5653_c0_g4_i1"	-0.402573107843584	0.193422292802152	0.151757222977233	-0.495454166802544	0.325416808706021	0.102915081463738
"TRINITY_DN5653_c0_g2_i1"	0.114169644216746	-0.263928504581669	-0.203656016298799	0.727751508287403	-0.131200788486599	-0.0961026443847073
"TRINITY_DN5653_c0_g2_i2"	0.269445097623228	-0.00666008152746368	0.00327427481266107	-0.0271820316800482	-0.0292991223092909	-0.00118255988316651
"TRINITY_DN5653_c0_g2_i3"	-0.0302587895226239	0.650089728769787	0.238502974682212	-0.403513947141549	0.0925536517631495	-0.103778762306481
"TRINITY_DN5633_c0_g1_i1"	0.733489524151599	-0.0518511473622468	0.291549981245976	0.0271514989745	-0.399356285880765	0.285715686278345
"TRINITY_DN5633_c0_g1_i2"	0.38399927881429	-0.163185190549933	0.50570146437002	0.539093002434714	-0.675475458101364	0.775740334680322
"TRINITY_DN5661_c0_g1_i1"	-0.50259361122578	0.0377938176760454	-0.39676216678312	-0.425092388838411	0.87260706126658	-0.615683508406867
"TRINITY_DN5661_c0_g1_i4"	-0.813343732136179	0.181977410807885	-0.40235733974227	-0.433086149274953	0.95710097075591	-0.603245650601746
"TRINITY_DN5661_c0_g1_i5"	-0.475235353422671	0.0419702622435638	-0.397163500674699	-0.42465932853624	0.860184522659245	-0.621788826861141
"TRINITY_DN5661_c0_g4_i3"	-0.768438254598616	0.0682756830099742	-0.550031268006952	-0.595803914208661	0.932032455841855	-0.631164659799916
"TRINITY_DN5614_c0_g1_i1"	0.72627240512979	-0.00793465650855727	0.0428597537665464	0.395539508332894	-0.394515124357964	-0.294793980278509
"TRINITY_DN5651_c0_g1_i1"	-0.135980892191449	0.023157819903806	-0.535263339484444	-0.189874099724292	0.473258925058455	-0.324707324705467
"TRINITY_DN5692_c0_g1_i2"	0.950956722550761	-0.238372465943214	0.369457418135068	0.212687030993299	-0.658822586830702	0.131753840050063
"TRINITY_DN5654_c0_g1_i7"	0.90020896319713	-0.125685706753318	0.0662374561839628	0.47492402349956	-0.655657288980088	0.164278488436639
"TRINITY_DN5608_c0_g1_i1"	0.971215627208579	-0.0530696759677317	0.387308830847115	0.255424056734742	-0.771031064526315	0.413333240958847
"TRINITY_DN5697_c1_g2_i1"	0.825591816738558	-0.25883884399269	0.126670167935733	0.334603466206636	-0.501510981005237	-0.124810298395292
"TRINITY_DN5695_c0_g2_i1"	0.465148658177663	-0.167115251133768	-0.182722424488283	0.268406731498063	-0.163774343495475	-0.457447024219562
"TRINITY_DN5695_c0_g1_i1"	0.404633285815555	-0.576419648943465	0.184215394529757	0.699401570986854	-0.400229906488386	0.0683305301738386
"TRINITY_DN5695_c0_g1_i2"	0.210314958607642	0.466639689636139	-0.2593213264049	-0.293174620477454	-0.0299891670549795	-0.0144641475198374
"TRINITY_DN5695_c1_g1_i1"	0.478906885239965	-0.0319544173082853	0.0460938658758398	0.399896481773037	-0.501595648452536	0.363280453052516
"TRINITY_DN5695_c0_g3_i1"	0.934954380245258	-0.237832174193884	0.24419041440735	0.264379841540174	-0.605915564845189	0.0965991543693603
"TRINITY_DN5634_c0_g1_i1"	0.98424141949397	-0.142158287748171	0.342626630047481	0.215886347324363	-0.708588463318269	0.256488084016714
"TRINITY_DN5649_c0_g1_i21"	0.804344505636269	-0.31639109112431	0.126009279998794	0.242943404689783	-0.616332100354356	-0.0174749208851612
"TRINITY_DN5649_c0_g1_i23"	0.252430366138508	-0.00944458815090042	-0.260668693969046	0.0491434149913801	-0.215814772248946	-0.146956331287674
"TRINITY_DN5649_c0_g1_i26"	-0.545415413362079	0.00726843510323573	-0.479189082041351	0.0790347294399238	0.48949044650424	-0.198180075574054
"TRINITY_DN5617_c0_g1_i1"	0.808987233143056	-0.17851566564315	-0.00525576184733468	0.310057400084195	-0.373597092568729	-0.0607050561910156
"TRINITY_DN5677_c0_g1_i2"	-0.304948699325079	0.27966535448712	-0.281966335071221	-0.413612913380667	0.712582939077605	-0.571832718103675
"TRINITY_DN5677_c0_g1_i3"	0.540759561501216	0.413680956939539	0.375805670114839	0.0439738184032943	-0.602434590089921	0.605445483490273
"TRINITY_DN5677_c0_g1_i4"	-0.301838239638819	0.520296924844977	-0.375918218163227	-0.284824405781582	0.678306577787769	-0.529689445397073
"TRINITY_DN5696_c0_g1_i2"	0.799091005294695	-0.0678053103143156	0.341276819496668	0.227608579227176	-0.622709772103452	0.122907080113314
"TRINITY_DN5624_c0_g1_i1"	0.751057673268521	-0.0983489978074846	0.144697248427042	0.109490603314903	-0.358930428843984	-0.245270003359272
"TRINITY_DN5660_c1_g2_i1"	0.529382342209466	-0.308007022221688	0.541606511041874	0.193380157589926	-0.512464919924176	0.609519710649448
"TRINITY_DN5660_c1_g1_i2"	0.850705211518786	-0.442066483286407	0.281338203851655	0.420851989352403	-0.589912012685357	0.16526536821462
"TRINITY_DN5660_c2_g1_i1"	0.737264203345704	-0.38178745104422	0.0777033223436892	0.395661301226431	-0.386429832220663	-0.0407729432504896
"TRINITY_DN5660_c2_g1_i2"	0.553248928419484	0.21071017146339	0.211176170187335	0.0764635841302963	-0.302334713415019	0.267888455009099
"TRINITY_DN5671_c0_g1_i1"	-0.295305836831229	0.216278740672028	-0.518045670348735	-0.352382286616452	0.720739250436125	-0.606293186986901
"TRINITY_DN5671_c0_g1_i12"	-0.283970820955463	0.303981345551972	-0.193561974671129	-0.487628687605018	0.670170477789892	-0.390255108560491
"TRINITY_DN5671_c0_g1_i14"	-0.82468509553198	0.127940619567214	-0.454707418588398	-0.488593555623042	0.910780368401701	-0.638612779242858
"TRINITY_DN5671_c0_g1_i8"	-0.630455723079584	0.139132327201084	-0.422773072193046	-0.291845109948033	0.875311527689842	-0.692557118972188
"TRINITY_DN5683_c0_g1_i1"	0.929946111632932	-0.347921559700954	0.316961382262911	0.134674547183965	-0.663557836539877	0.236574826644083
"TRINITY_DN5658_c1_g1_i2"	0.116101115378964	0.847608718420806	0.0441535558556002	0.129485243379365	-0.0807437522863951	-0.0169076658309429
"TRINITY_DN5642_c0_g1_i1"	-0.746858723154777	0.115951707788632	-0.637183290155878	-0.545199267269848	0.772498177978224	-0.427377404491028
"TRINITY_DN5642_c0_g1_i2"	-0.548200562327236	-0.0574819963972901	-0.379445571668071	-0.414172176679656	0.828522914323658	-0.548472288719142
"TRINITY_DN5642_c0_g1_i3"	-0.804530091512901	-0.0436357075565868	-0.377607345665931	-0.406255198640442	0.761528577924935	-0.467297359036314
"TRINITY_DN5638_c1_g2_i1"	0.482733665857847	-0.287540718664549	0.276138743155261	-0.101165556224505	-0.359193100822373	0.221519350736888
"TRINITY_DN5662_c0_g1_i4"	-0.269453398695908	0.00295160130978159	-0.105805999968117	-0.0545253473344008	0.167109761824581	-0.414937331329727
"TRINITY_DN5681_c0_g1_i1"	-0.0664625795673588	0.208531507193781	0.200040128020735	-0.101667223861973	0.28478458821491	-0.265335923989067
"TRINITY_DN5622_c0_g1_i1"	0.928301430140302	-0.287047210239201	0.506104987623159	0.34644141965879	-0.7452803606752	0.274253851426757
"TRINITY_DN5616_c0_g1_i5"	-0.259046821399671	0.13299798603301	-0.380589088891515	-0.53493365561613	0.758839211134463	-0.706153306453419
"TRINITY_DN5616_c0_g1_i7"	-0.259046821399671	0.13299798603301	-0.380589088891515	-0.53493365561613	0.758839211134463	-0.706153306453419
"TRINITY_DN5699_c0_g1_i3"	-0.207966489074704	-0.192725556745374	-0.216894246707075	-0.144904119587156	0.350003926099806	0.0106963483507432
"TRINITY_DN5635_c0_g1_i1"	0.98476261814835	-0.221166925236062	0.351804865566782	0.348329868239613	-0.752521211027025	0.345255012557341
"TRINITY_DN5611_c0_g2_i2"	0.868065543637518	-0.236366185952584	0.350265512622715	0.396910753805869	-0.585612595060164	0.148389064315828
"TRINITY_DN37977_c0_g1_i1"	-0.399810063524799	0.207483215161529	-0.482622786815887	-0.137520646886624	0.760137564970361	-0.876738345738049
"TRINITY_DN37897_c0_g1_i1"	-0.0544437624624768	0.33604674304223	-0.199777699719972	-0.122564775084079	0.429105074729906	-0.530923982972471
"TRINITY_DN37941_c0_g1_i1"	0.360297314957281	-0.257574232652156	-0.0107620383984776	0.94434254775154	-0.493981428466587	0.16886199052103
"TRINITY_DN28830_c0_g1_i1"	0.971516423352369	-0.05082946505149	0.31845102756677	0.304525432101255	-0.758493808614468	0.397287397781545
"TRINITY_DN28802_c0_g1_i1"	0.919738873338494	-0.022904243554499	0.560337258789368	0.309010441146463	-0.840836855646133	0.538416447336014
"TRINITY_DN28816_c0_g1_i1"	0.720468997709824	0.0121186218232686	-0.0135732771298935	0.339365574477859	-0.388324788801233	-0.312052751889972
"TRINITY_DN12423_c0_g2_i1"	0.281100340535127	-0.0437460297546405	-0.464324633355996	-0.0632696118478412	0.190238308663702	-0.679200967924482
"TRINITY_DN12473_c0_g1_i2"	-0.809847581714142	0.217599084360446	-0.40151113162455	-0.430832467064857	0.918145153665035	-0.60161298229288
"TRINITY_DN12428_c0_g1_i1"	0.653272047319375	0.202874628971556	0.071605339661435	0.151650489410834	-0.277082719479722	-0.348746380071804
"TRINITY_DN12499_c0_g1_i1"	0.929549563360909	-0.196973223165748	0.368127945432879	0.253441019585444	-0.792410366545192	0.447753986676055
"TRINITY_DN12451_c0_g1_i1"	0.894528496881254	-0.280350015186679	0.352509444867522	0.102421108341989	-0.5853033740563	0.180322103321535
"TRINITY_DN12437_c0_g2_i1"	-0.732804360119511	0.156826991445272	-0.553173555353857	-0.436832779424391	0.746487835713766	-0.588143175743001
"TRINITY_DN12462_c0_g1_i1"	-0.779388075872813	-0.152038159074683	-0.349489387124182	-0.514751722317813	0.690326941744691	-0.201042002166759
"TRINITY_DN12415_c1_g1_i1"	0.826539817618547	-0.084301853333256	0.141047051420372	0.121781281217825	-0.409515762820871	-0.166352907943927
"TRINITY_DN12415_c2_g1_i3"	0.750102162650394	0.125538642318617	0.188874458859462	-0.107863365354578	-0.346879432146938	-0.123627353880345
"TRINITY_DN12415_c2_g1_i4"	0.325539310560345	-0.612550234011222	-0.0921549967027116	0.555497436275112	-0.282647132416798	-0.135514425934703
"TRINITY_DN12415_c0_g1_i13"	-0.544777324715154	0.0253798869918084	0.139674327531705	-0.178119546377394	0.333442204061053	0.134169126656518
"TRINITY_DN12416_c0_g1_i1"	0.0348670529961063	-0.538490017690888	-0.567827407006309	0.125671898430912	0.265221612055993	-0.360340065745127
"TRINITY_DN12405_c0_g3_i1"	-0.523018313946339	0.0392321213360789	-0.389087605417857	-0.404607879955108	0.863306021215493	-0.572713637917511
"TRINITY_DN12405_c0_g2_i3"	-0.801398248299713	0.114565192338603	-0.470243436037261	-0.600373732502363	0.946119500908808	-0.732400402395412
"TRINITY_DN4725_c0_g1_i1"	0.11457642133078	-0.306526133279668	0.297282383427141	-0.248386583901037	-0.316205929724297	0.500806494386932
"TRINITY_DN4725_c0_g1_i4"	0.8615632985771	-0.0152970800956663	0.498483966702041	0.313734743157543	-0.801701248539897	0.63430148196732
"TRINITY_DN4706_c0_g4_i1"	0.00147059890626378	0.953401389739524	-0.0440468364151649	-0.0178214942498288	-0.00377717800327565	-0.0581305807348883
"TRINITY_DN4706_c1_g1_i3"	-0.434227279149286	0.867158679988468	-0.373970052596413	-0.398191424055007	0.468103477965104	-0.395036829897873
"TRINITY_DN4706_c0_g1_i1"	-0.902447391486727	0.134934893799055	-0.451349553032956	-0.492221163485675	0.871917373960501	-0.411792478098835
"TRINITY_DN4706_c0_g1_i2"	-0.667699801064202	-0.0796675339656285	-0.439087000218477	-0.00943328503324442	0.701280745122633	-0.708287891943352
"TRINITY_DN4715_c3_g1_i3"	-0.123307076333325	0.0998814412203205	-0.0619085065516649	-0.103599752731222	0.4611018728884	-0.461807792878919
"TRINITY_DN4715_c1_g1_i1"	0.846923103570445	-0.145533102589982	0.209020028284369	0.280781420976612	-0.523293901312322	-0.091987986061933
"TRINITY_DN4715_c2_g1_i1"	0.924564332627785	-0.150276108864265	0.328332316999845	0.065152731099059	-0.644348091486508	0.166498314845448
"TRINITY_DN4703_c0_g1_i1"	-0.707647105137086	0.0274845270566065	-0.517145407112602	-0.553987109673481	0.930059616112996	-0.726969649359637
"TRINITY_DN4749_c0_g1_i1"	0.725905176764723	-0.0989425584656451	0.276285145188453	0.0267478651911648	-0.389661988961551	-0.128465180300124
"TRINITY_DN4718_c0_g1_i1"	-0.667731053011847	0.237165802021849	-0.555722457780764	-0.439315327841318	0.813094324874848	-0.76305418711599
