"kMEgreen"	"kMEgreenyellow"	"kMEpink"	"kMEpurple"	"kMEtan"	"kMEturquoise"
"TRINITY_DN21478_c0_g1_i1"	0.703388816098108	-0.645751558862395	-0.330677458498005	-0.116248920638225	0.330429459761544	-0.358562381738339
"TRINITY_DN21505_c1_g1_i1"	-0.754201023082408	0.600287454683339	0.29432142950784	0.253563446585991	-0.165168357849116	0.819369739014106
"TRINITY_DN21499_c0_g1_i1"	-0.465561136244285	-0.086871504633524	0.611963297144668	-0.0523982163128476	-0.0514936987172931	0.680268615203408
"TRINITY_DN21444_c0_g2_i1"	0.843394166558563	-0.789706675202809	-0.35787300759416	-0.328656000029274	0.123893875430629	-0.474873145880304
"TRINITY_DN21517_c0_g2_i1"	-0.882091889819366	0.514394927788375	0.453202557632913	0.366301724772261	-0.305479373038077	0.954817816572912
"TRINITY_DN21517_c0_g1_i1"	-0.870042535033901	0.523378092135572	0.389789741028259	0.355620965249299	-0.20610725474238	0.961456300007738
"TRINITY_DN21490_c0_g1_i1"	0.904018041489612	-0.700969124275747	-0.555691234595632	-0.514395979863096	-0.0207194298153814	-0.779485678140526
"TRINITY_DN21494_c1_g1_i2"	-0.369935134229152	0.502511209710814	0.162819328992238	0.366666296278319	-0.37297533198884	0.461859503117
"TRINITY_DN21470_c0_g1_i1"	-0.830222662318877	0.485420181801945	0.565537515918514	0.365312542220517	-0.292698618433866	0.914709396985853
"TRINITY_DN21470_c1_g1_i1"	-0.858051620328384	0.473075620498333	0.590823664623111	0.355375790541152	-0.308973987611119	0.912533932538131
"TRINITY_DN21504_c1_g1_i1"	-0.763399677025418	0.462735565447465	0.769482751464819	0.338162057181523	-0.204060480786114	0.565643376560017
"TRINITY_DN5656_c0_g1_i3"	0.383408507559842	-0.181303552257719	-0.152765218777762	-0.153537639979486	0.487211707529484	-0.155624201735178
"TRINITY_DN5680_c0_g1_i1"	-0.773603109540837	0.360301063320446	0.281798305167289	0.355574313556554	-0.277314533169592	0.979468263471487
"TRINITY_DN5653_c0_g4_i1"	0.325110159538136	0.0947934461427983	-0.494482900206982	0.151657739950787	0.19337119310087	-0.402903260230023
"TRINITY_DN5653_c0_g2_i1"	-0.130931191558106	-0.094156011571791	0.727936507488567	-0.203411285310024	-0.263935622398117	0.11416735373367
"TRINITY_DN5653_c0_g2_i2"	-0.0288948662333068	0.00405655619341488	-0.0258659284601328	0.00444253049635776	-0.0066934852006699	0.269181799390926
"TRINITY_DN5653_c0_g2_i3"	0.0922356028111233	-0.10654193374878	-0.404380988744875	0.238275008121928	0.650074691321683	-0.0300053219411139
"TRINITY_DN5633_c0_g1_i1"	-0.398866036286508	0.296301617361459	0.0279039180145598	0.291097358856181	-0.0518155031414047	0.733282199235193
"TRINITY_DN5633_c0_g1_i2"	-0.675556641970633	0.769936280918476	0.539515945731877	0.505713594800706	-0.163183596425114	0.383734848023175
"TRINITY_DN5661_c0_g1_i1"	0.872867851953315	-0.625280266299154	-0.424856678008971	-0.398677831243608	0.0378030560693369	-0.502605915753954
"TRINITY_DN5661_c0_g1_i4"	0.957038000589314	-0.620018717739577	-0.433013878378792	-0.403635164416895	0.181955997506028	-0.813253075601186
"TRINITY_DN5661_c0_g1_i5"	0.860450781499268	-0.630743688488289	-0.42448826895028	-0.399028896583256	0.0419827947092689	-0.475220629753968
"TRINITY_DN5661_c0_g4_i3"	0.93190035716191	-0.639778832652197	-0.595823945235556	-0.551221623135861	0.0683084947832818	-0.768360126693029
"TRINITY_DN5614_c0_g1_i1"	-0.393885396640739	-0.279583147954059	0.394239342849793	0.0440925047766754	-0.00791741961295623	0.726600723412029
"TRINITY_DN5651_c0_g1_i1"	0.473688215914773	-0.326414249751994	-0.189401750162501	-0.53705186436087	0.0231067444137906	-0.136177156590476
"TRINITY_DN5692_c0_g1_i2"	-0.658299021502357	0.153465789373992	0.211806087165293	0.370174017464898	-0.238426222909149	0.951052151347821
"TRINITY_DN5654_c0_g1_i7"	-0.655046895429507	0.181892601986951	0.475032459745358	0.067592463767321	-0.125669130233381	0.900161299068111
"TRINITY_DN5608_c0_g1_i1"	-0.770704078280814	0.430395488147997	0.255075308201027	0.387776859243087	-0.0530711053145473	0.971181668213379
"TRINITY_DN5697_c1_g2_i1"	-0.500862717929849	-0.102277455243468	0.334039931641846	0.128627978287863	-0.258896813057034	0.825718184190172
"TRINITY_DN5695_c0_g2_i1"	-0.163234185291222	-0.440327436949398	0.267896538439233	-0.180566517372632	-0.167162493272653	0.4655382896701
