"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"
"TRINITY_DN88421_c0_g1_i1"	-0.330707825552833	0.939793421507807	-0.620515329080476	-0.172170198586851	0.448206892041996	-0.385724446589187	0.264929678768806	-0.368305052221634
"TRINITY_DN88418_c0_g1_i5"	-0.340077000981015	0.944049524663197	-0.598268515648789	-0.197077567670825	0.406327443706837	-0.340971764700103	0.214854134372715	-0.345424404014044
"TRINITY_DN88415_c0_g1_i2"	-0.431637495773142	0.872767077306927	-0.742591595090181	0.0379095818610095	0.339736798840204	-0.166515959225258	0.469706899505787	-0.414245572090346
"TRINITY_DN88474_c0_g1_i2"	0.889500490612782	-0.564384388612432	0.917206926805451	-0.223324285146394	-0.4435464593352	0.164558096150649	-0.637704415208777	0.264458836524382
"TRINITY_DN88425_c0_g1_i2"	-0.584582819693982	0.759354773516806	-0.834337550148449	0.0662679909828115	0.161680898366756	-0.403463964371575	0.885259029294159	-0.419379501997873
"TRINITY_DN88476_c0_g2_i1"	-0.535829353768309	0.357374793900262	-0.60767021582452	0.271020034490126	0.0591007736433571	-0.218025031052851	0.893452239189237	-0.214440716334218
"TRINITY_DN88409_c0_g1_i3"	-0.0370637463459424	-0.38353451483796	0.334476550946728	-0.0093269520515803	-0.266719234794455	-0.144067127728414	-0.147334306207363	0.599111459486311
"TRINITY_DN21442_c0_g2_i1"	-0.343659878484405	0.932543755101013	-0.684157085081864	-0.0740776296941102	0.440765632618143	-0.245096771394636	0.330191192323585	-0.490275745770465
"TRINITY_DN21452_c2_g1_i8"	0.354911896016243	-0.54213989637175	0.749952335577155	0.22259039933344	-0.670428014013156	0.431059327553364	-0.421385053618992	0.327189477954066
"TRINITY_DN21434_c5_g1_i3"	0.583213964898088	-0.676595319891134	0.915004342669419	0.0677906150152692	-0.671976467810459	0.337384590477423	-0.502807040172352	0.270361782310818
"TRINITY_DN21454_c1_g1_i2"	0.772736359848647	-0.398143594089366	0.6720989056408	0.124837403392748	-0.456839154295736	0.514118097082195	-0.480812241023523	0.370268215204473
"TRINITY_DN21443_c0_g1_i2"	-0.632048628828114	0.875883698828205	-0.863702217384282	-0.0481393647922857	0.340363238250131	-0.406997917430624	0.708196936033734	-0.404104023962177
"TRINITY_DN21491_c1_g1_i1"	-0.450667203848105	0.314210214283729	-0.634184670972676	0.2361719415659	0.066517040308058	-0.194252234815996	0.765326918698481	-0.166905517924798
"TRINITY_DN21406_c11_g1_i1"	0.55761633634336	-0.706517691712754	0.934200563574849	-0.00813340131350782	-0.610152571972825	0.316058866326797	-0.613738288861568	0.254064011326005
"TRINITY_DN21425_c2_g3_i2"	-0.471921598269771	0.43289037892602	-0.523832170252481	0.15944097681412	-0.0119121218950942	-0.306933529328365	0.853319910573637	-0.31474612467304
"TRINITY_DN21430_c0_g1_i1"	-0.23370605796787	0.92322792426486	-0.609916126081287	-0.184541484797303	0.403816501007072	-0.318841940965425	0.287901202841502	-0.390733963320588
"TRINITY_DN21410_c0_g1_i21"	-0.446602946590875	0.330986602700427	-0.531044419658419	0.335283704524872	0.0668966316376432	-0.178826227822196	0.766845301273007	-0.182230330138379
"TRINITY_DN21460_c0_g1_i36"	-0.37378252352682	0.911332802539023	-0.602296397737967	-0.0841946906660736	0.417130485605036	-0.325459601923214	0.305599597416028	-0.337593305759005
"TRINITY_DN21460_c0_g1_i38"	-0.527775495613942	0.972065030747753	-0.789041872969989	-0.101773658466189	0.382640278700935	-0.397327155305762	0.557248778219041	-0.397433163510132
"TRINITY_DN5656_c11_g1_i8"	0.344345152712549	-0.673382869664	0.806933735055388	-0.0451816889709293	-0.579458191823025	0.154696361550474	-0.463919607123164	0.407723182439172
"TRINITY_DN5644_c12_g1_i16"	0.662361270493741	-0.785030871367371	0.943903638879399	0.0262047596283539	-0.51907723860013	0.409046330495044	-0.693063130571345	0.423932987071344
"TRINITY_DN5644_c14_g1_i3"	0.601551308627889	-0.63113199121153	0.807808149417742	0.089741279676003	-0.272647588384263	0.466277473125613	-0.728151133098555	0.120255708498678
"TRINITY_DN5644_c0_g1_i9"	0.610594438509016	-0.767961696366308	0.924228071967615	0.00770132334190683	-0.560074764771937	0.377454303480292	-0.709374466656501	0.410189459690307
"TRINITY_DN5644_c7_g1_i1"	0.777104772170688	-0.58027772228943	0.896665186747229	-0.0894605380384147	-0.490333376303241	0.304247002079513	-0.681985776186648	0.23364323997502
"TRINITY_DN5644_c10_g1_i4"	-0.488494814814614	0.830377443490259	-0.747789988797237	-0.0747475475295598	0.136363216825228	-0.474717771231074	0.7524470716505	-0.444908330411887
"TRINITY_DN5614_c0_g1_i8"	-0.18223911940419	-0.531296449596901	0.408278936032245	0.152217439777641	-0.257686980595157	0.142035511435325	-0.321665404237258	0.501135585996155
"TRINITY_DN5651_c0_g1_i3"	0.654138813143731	-0.690196606880258	0.924876461086898	-0.133505247175101	-0.535751384802796	0.154707796258272	-0.673413864997645	0.443069772990561
"TRINITY_DN5612_c17_g1_i3"	0.144104852879998	-0.591546475879928	0.401870273766172	0.210949244598509	-0.687730658413847	0.17858378041771	0.161332135779432	0.258797351683253
"TRINITY_DN5612_c10_g4_i2"	0.710856350479578	-0.663551497508398	0.961649218945304	-0.270621461351414	-0.551617840421277	0.209396482298588	-0.695562138683679	0.380467780245436
"TRINITY_DN5612_c12_g1_i1"	0.546994618014144	-0.597180752043288	0.860305348216032	0.081429454895788	-0.460292402058625	0.549988589997188	-0.713152074283254	0.329593243467881
"TRINITY_DN5608_c1_g1_i1"	-0.458663384370893	0.937191135016326	-0.698322891991683	0.0169439448186331	0.315988759306842	-0.364968632733783	0.580689780059861	-0.373458583347275
"TRINITY_DN5621_c1_g1_i1"	-0.308270577952237	0.868504011626626	-0.581628397045071	0.0113025909739734	0.168881875328687	-0.31274114429129	0.599057681923147	-0.431104230145541
"TRINITY_DN5600_c0_g1_i13"	-0.393946590907292	0.95256951911698	-0.751238216876551	-0.0677938496288335	0.380357509906665	-0.294081097188719	0.492756038824407	-0.578166822506589
"TRINITY_DN5600_c0_g1_i7"	-0.406917175321547	0.903373894086773	-0.64173248760386	-0.143734145910697	0.463519000799646	-0.377465000495482	0.280141998143702	-0.241337360901161
"TRINITY_DN5632_c0_g1_i10"	0.768762884935884	-0.63312614637178	0.930145407882484	-0.147505413377641	-0.360583378527326	0.294600389409807	-0.802087174256416	0.302511192106237
"TRINITY_DN5632_c0_g3_i1"	0.425062208461852	-0.682247614289396	0.837185570329555	0.0629386800174321	-0.412231316259759	0.488916133034141	-0.778234181770656	0.534507969956898
"TRINITY_DN5632_c0_g2_i2"	0.852835893132506	-0.45530568328845	0.667628780996801	-0.0200113337221482	-0.286689225105839	0.323978571612065	-0.540521939800514	0.1438959259148
"TRINITY_DN5601_c0_g1_i10"	0.925617451023233	-0.298985957986047	0.50911647206693	-0.213381544546048	0.0156554954109664	0.049713859467505	-0.492588978525117	0.104126352884592
"TRINITY_DN5662_c12_g1_i7"	0.928503782125187	-0.298660438478607	0.575611340006464	-0.245168583623607	-0.0528953676415737	0.0531728883764165	-0.502336043215744	0.0813527930916445
"TRINITY_DN5662_c0_g2_i2"	0.794795258428071	-0.512951500008173	0.769258357906417	0.0249495400127941	-0.455183644076838	0.251998984448932	-0.501417567904735	0.190180310408074
"TRINITY_DN5662_c1_g1_i17"	0.0679786183710593	-0.571301351186022	0.519951366652919	0.305918151059566	-0.297433522526773	0.641158284186574	-0.575457174110358	0.244983918614564
"TRINITY_DN5662_c21_g2_i1"	-0.500161538682968	0.504386009186951	-0.678786356612486	0.09324279287909	-0.00884373213961593	-0.342038956695462	0.967770970072368	-0.34493306876601
"TRINITY_DN5622_c0_g1_i7"	0.777296422857715	-0.626651538569662	0.958608537336927	-0.0900662355683932	-0.46790722009485	0.36055423296411	-0.781577037564654	0.385462619493741
"TRINITY_DN5637_c1_g1_i4"	0.973558239030618	-0.381361494787408	0.687412912264191	-0.144062176505718	-0.253875902842784	0.137437283294482	-0.533952881806512	0.126318238716325
"TRINITY_DN5616_c8_g1_i1"	0.865232137075984	-0.559848336070828	0.907289684357611	-0.146890162618911	-0.454258531122759	0.255767170749416	-0.681119544292381	0.350290819673005
"TRINITY_DN5616_c0_g1_i3"	0.669968684150923	-0.481535369080193	0.754737699883039	0.0882605588010472	-0.658942110597725	0.427177212054591	-0.435254681446823	0.394662074453729
"TRINITY_DN5616_c0_g1_i12"	0.940424353734228	-0.43982324597971	0.733152033791735	-0.0913072962605992	-0.342598735990003	0.271729548126934	-0.593079606370202	0.316914980982121
"TRINITY_DN5616_c11_g1_i1"	0.817811530366544	-0.508209701509074	0.853366356064857	-0.093779595289633	-0.560811777425428	0.264050334078455	-0.517474491244249	0.402500553801196
"TRINITY_DN5616_c0_g2_i8"	0.65028107124794	-0.704074056157524	0.826423734889314	0.133026928112656	-0.568156413201198	0.45238106637977	-0.587268457570128	0.485391046313097
"TRINITY_DN5616_c0_g3_i1"	0.384117324150342	-0.617953384566291	0.698098545823066	0.101880161348661	-0.323359699183789	0.325805968525625	-0.587493408957974	0.428218984078748
"TRINITY_DN5616_c0_g3_i5"	0.564469344865543	-0.494566179872636	0.839106095117695	-0.0808959060548274	-0.5656806151827	0.297698097161798	-0.565978338844084	0.341026258458812
"TRINITY_DN5605_c6_g1_i1"	-0.107119153337487	-0.334492923411154	0.257382216779506	-0.347577360035785	-0.172601792596256	-0.266666432082925	-0.0574202165816039	-0.074523582827159
"TRINITY_DN5628_c1_g1_i17"	0.181501442324954	-0.607104231547651	0.717603835949489	0.0611106299258647	-0.392246638571845	0.442851550054028	-0.611591654038018	0.350834545408429
"TRINITY_DN5631_c0_g1_i2"	0.758778823292639	-0.42350232225664	0.618904450038701	0.172470484076047	-0.219477213881191	0.589896524055977	-0.563496059976612	0.178463270448334
"TRINITY_DN37816_c0_g1_i1"	-0.334023809786288	0.914919921580758	-0.579660273861328	-0.140845078667222	0.42289807738573	-0.304386680288998	0.155683817280848	-0.310939839954733
"TRINITY_DN37868_c0_g1_i2"	-0.446364715840397	0.943085796965811	-0.690347751070215	-0.0531027315765892	0.339724186414405	-0.376152094157359	0.539648501344998	-0.382644339952746
"TRINITY_DN37855_c0_g2_i3"	0.54593089707948	-0.663520164723518	0.816523960664481	-0.000231369452887799	-0.330481929196199	0.294106671782109	-0.637910019907354	0.488854656158199
"TRINITY_DN37821_c0_g1_i10"	-0.304195871305862	0.9639171791496	-0.681932470543507	-0.22322885171162	0.479020537285246	-0.476854141842428	0.371733284529823	-0.416271017782169
"TRINITY_DN37814_c0_g1_i3"	-0.313641183126678	0.386043717421618	-0.56156311608767	-0.1995680929666	0.975985608892308	-0.338117212484484	0.00354662746772274	-0.358173870582277
"TRINITY_DN37883_c1_g2_i7"	-0.506352121311349	0.821583328915254	-0.688998860864013	0.160040144356566	0.367560549224972	-0.168272196374823	0.431386303821914	-0.228675972391356
"TRINITY_DN37810_c0_g1_i7"	0.784903026911306	-0.439059681656234	0.731851322180783	0.123495095716212	-0.32174842406141	0.542708148216744	-0.691945838811684	0.294644049442339
"TRINITY_DN37828_c1_g1_i1"	-0.627273786208793	0.38430712584671	-0.728254914787906	0.118215289023543	0.0539836941707137	-0.269768695289293	0.954672358807556	-0.265462906118256
"TRINITY_DN79355_c0_g1_i7"	-0.356521715914896	0.97125891191482	-0.66916299619598	-0.116823188673357	0.359837983439344	-0.323470354432056	0.400854238693896	-0.420606652135458
"TRINITY_DN79315_c0_g2_i1"	-0.473387909285411	0.462219578410771	-0.662117096119614	0.0953345478952084	-0.0447894329887325	-0.352215009378044	0.963496218133082	-0.362357200741211
"TRINITY_DN63083_c3_g1_i1"	-0.560639807634775	0.264492639317142	-0.6489678476725	0.179596110997307	-0.0386232003575315	-0.169260601178754	0.888631237007493	-0.176994850819209
"TRINITY_DN63081_c0_g1_i5"	-0.310709112072331	0.94074049291543	-0.56256608567244	-0.120928224205308	0.342935553222442	-0.350407915672091	0.311634192648515	-0.360996886410452
"TRINITY_DN63028_c0_g1_i2"	-0.354188318596984	0.948817569462643	-0.706660633326657	-0.0257107813848068	0.255291135808032	-0.325271994352435	0.584129146548039	-0.542987508383217
"TRINITY_DN28797_c0_g3_i7"	0.866488781169979	-0.310398753702399	0.500058059189246	-0.114744621985782	0.0434480015647285	0.102640497196079	-0.532736702618245	0.0719348812727143
"TRINITY_DN28742_c0_g1_i10"	0.757224234951107	-0.605687855287298	0.909019132473673	-0.268641470283687	-0.607917619087876	0.0745290731356699	-0.485603126775273	0.287729295067724
