"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN279_c0_g1_i1"	3.01755	2.24554	2.01987
"TRINITY_DN13523_c1_g2_i1"	5.59112	3.7006	1.09206
"TRINITY_DN21813_c0_g1_i2"	214.832	71.6587	49.0978
"TRINITY_DN4013_c0_g1_i2"	4.58	3.01612	0.224842
"TRINITY_DN12676_c0_g1_i1"	7.66148	2.99662	2.14187
"TRINITY_DN12616_c0_g1_i2"	5.78761	4.2568	3.61852
"TRINITY_DN12750_c0_g6_i1"	6.17677	2.97618	2.07185
"TRINITY_DN12749_c1_g1_i1"	54.6045	31.491	28.1927
"TRINITY_DN12765_c0_g2_i1"	6.66939	0.971248	0.204747
"TRINITY_DN663_c0_g2_i1"	2.75843	1.75207	1.53936
"TRINITY_DN648_c0_g1_i63"	6.52365	0.742555	0
"TRINITY_DN612_c16_g1_i1"	3.14182	2.20171	0.603004
"TRINITY_DN641_c1_g5_i1"	16.9815	1.88868	0.210337
"TRINITY_DN691_c1_g2_i1"	35.0067	27.8633	5.46829
"TRINITY_DN630_c3_g1_i10"	3.64559	1.97661	1.13229
"TRINITY_DN652_c0_g1_i1"	3.27864	2.70965	1.76314
"TRINITY_DN647_c0_g1_i56"	15.1716	10.9398	5.73875
"TRINITY_DN20987_c0_g1_i1"	7.93789	3.95115	1.86406
"TRINITY_DN11898_c0_g1_i1"	2.47118	1.87167	0.812189
"TRINITY_DN11826_c0_g2_i1"	58.6539	44.9916	42.5924
"TRINITY_DN11904_c0_g1_i4"	13.6773	6.50149	5.68796
"TRINITY_DN11916_c1_g1_i1"	138.461	43.4149	15.4974
"TRINITY_DN8071_c1_g2_i2"	4.82819	3.90065	1.57974
"TRINITY_DN10064_c0_g2_i1"	2.3202	2.01396	1.33278
"TRINITY_DN10078_c0_g2_i1"	3.32661	3.14676	1.57921
"TRINITY_DN10036_c1_g2_i4"	6.92816	5.4698	1.77788
"TRINITY_DN10036_c1_g1_i1"	2.98248	1.72863	0.730014
"TRINITY_DN10050_c1_g2_i1"	2.59858	1.37976	1.22614
"TRINITY_DN10050_c1_g1_i1"	6.28227	0.957936	0
"TRINITY_DN10017_c0_g3_i1"	258.6	180.316	112.493
"TRINITY_DN17357_c1_g1_i1"	218.915	156.501	42.0262
"TRINITY_DN16605_c2_g1_i1"	18.4789	8.96036	5.77382
"TRINITY_DN33952_c0_g1_i1"	4.20831	4.19019	4.01012
