"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	0.148346700281351	-0.255077727110327	-0.304857573965893	0.86358223450176	0.890428962141056
"TRINITY_DN4773_c0_g1_i1"	-0.300098623085699	0.0506436550649306	-0.141563124537032	0.980613434199337	0.595142743864993
"TRINITY_DN4727_c0_g1_i1"	-0.367168683750731	0.143957127357393	-0.155354458338503	0.973718274423984	0.553452548729698
"TRINITY_DN4757_c0_g1_i1"	0.179129918620796	-0.219216337953264	0.776820689761919	-0.139474232901157	-0.284950008857905
"TRINITY_DN4752_c0_g1_i1"	-0.290976286511869	0.0435648624279948	-0.163310322122439	0.988149365535352	0.595836733290881
"TRINITY_DN44_c0_g2_i2"	0.647218815703803	-0.560153639549154	-0.496186382765087	0.19546004266221	0.799642982094832
"TRINITY_DN16_c0_g1_i2"	-0.35268375806561	0.102973929027021	-0.139494978959881	0.98531884527464	0.572173965038251
"TRINITY_DN4_c0_g1_i3"	-0.502585311977402	0.710364861698856	0.219679663007677	-0.530380970191172	-0.619756456595407
"TRINITY_DN32_c0_g1_i6"	-0.158324010607339	-0.11563808976036	-0.0263281668978201	0.94772076499728	0.574185505911761
"TRINITY_DN49_c0_g1_i1"	-0.0327045788832381	-0.0964417019912879	-0.430180579784614	0.895701679561775	0.878259157650488
"TRINITY_DN58_c0_g1_i1"	-0.222304088362505	-0.01877233187444	-0.177488145074697	0.96141603470507	0.570130277512437
"TRINITY_DN37_c0_g1_i1"	-0.262486262198723	0.0215751644841286	-0.152235882675828	0.97365104702104	0.599294201685901
"TRINITY_DN11_c0_g1_i9"	-0.290336634116929	0.0666164462112312	-0.125782962842134	0.965944667192452	0.575363840316617
"TRINITY_DN11_c0_g1_i11"	-0.339488438508946	0.0764181127027178	-0.166278874072617	0.977233610050891	0.571389467684814
"TRINITY_DN85_c0_g1_i1"	0.811146982996148	-0.883209443216909	-0.138417305137994	0.269271239871938	0.614427038180256
