"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgreen"	"kMEgrey60"	"kMElightgreen"
"TRINITY_DN88421_c0_g1_i1"	0.329786157291155	-0.715473245995052	0.920971977235693	0.363022971923463	-0.421848540301705	-0.362913476594129
"TRINITY_DN88418_c0_g1_i5"	0.183884684265804	-0.637557073196837	0.961209201984626	0.352837895178403	-0.436343577868099	-0.362774632260469
"TRINITY_DN88415_c0_g1_i2"	0.0215122559308374	-0.611319501504457	0.674160639596297	0.462812226022498	-0.0205207715056187	-0.15469912087136
"TRINITY_DN88474_c0_g1_i2"	-0.422131774790358	0.976870113737227	-0.651413871935372	-0.671114977863238	0.23659685047023	0.475660415298119
"TRINITY_DN88425_c0_g1_i2"	0.0117216979903089	-0.726211904213947	0.735752227524612	0.906938610339197	-0.434310526081894	-0.401492423661626
"TRINITY_DN88476_c0_g2_i1"	0.0811982980489931	-0.60544238783954	0.410581779689953	0.856724842704642	-0.205662151460063	-0.194588880724162
"TRINITY_DN21442_c0_g2_i1"	0.211659302044897	-0.662085739651114	0.8445342435116	0.359269616300029	-0.0845590962832127	-0.472096128694308
"TRINITY_DN21452_c2_g1_i8"	-0.608135988715004	0.835948425403035	-0.592308844258173	-0.503784032223008	0.547931809381844	0.387531345626037
"TRINITY_DN21434_c5_g1_i3"	-0.598842383678327	0.920785771901061	-0.713544891910757	-0.527343511529618	0.407005187595607	0.496448246884834
"TRINITY_DN21454_c1_g1_i2"	-0.533474348393385	0.818283546755604	-0.492463317864624	-0.524284164036127	0.530669960907332	0.553005884212577
"TRINITY_DN21443_c0_g1_i2"	0.21847446228615	-0.916723222401105	0.855673290296483	0.786790584333376	-0.424444061812226	-0.360979064686188
"TRINITY_DN21491_c1_g1_i1"	0.0237775647196455	-0.54952243808298	0.400911789061702	0.728091053276115	-0.148570444818362	-0.0903902939516408
"TRINITY_DN21406_c11_g1_i1"	-0.50404466385614	0.949283073579183	-0.732202653672177	-0.69567759908046	0.412897985706494	0.405195970498417
"TRINITY_DN21425_c2_g3_i2"	0.0473687458207277	-0.550854004541546	0.437841929609372	0.807526948891972	-0.279719783088356	-0.263351980495399
