"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN21478_c0_g1_i1"	-0.247335649832318	0.327582010064761	0.383327500432776	-0.1158911402717	0.838242581694452	-0.380816451781456
"TRINITY_DN21505_c1_g1_i1"	0.326247461113168	-0.5916648340521	-0.380255278031566	0.295652164821483	-0.771561119537455	0.757728915711445
"TRINITY_DN21499_c0_g1_i1"	0.446465398712286	-0.469073997353149	-0.0192124715255522	0.0942925377175731	-0.335287227785137	0.659919415383068
"TRINITY_DN21444_c0_g2_i1"	-0.32955188463547	0.421715008751222	0.223695997777285	-0.325989596572151	0.895414930172848	-0.42162922692284
"TRINITY_DN21517_c0_g2_i1"	0.427831119656488	-0.800300894243503	-0.322283271448299	0.417637850287647	-0.758187153197275	0.954622885609831
"TRINITY_DN21517_c0_g1_i1"	0.370619189699236	-0.785284599860717	-0.308523801999024	0.402069330506652	-0.755994325942893	0.95546906446771
"TRINITY_DN21490_c0_g1_i1"	-0.496664517059863	0.876203514529428	-0.0766675493657279	-0.451599977270173	0.716589864963824	-0.701306971484507
"TRINITY_DN21494_c1_g1_i2"	0.123139245098289	-0.300795089379147	-0.284966087593453	0.245273392551123	-0.370357023573706	0.310040548931876
"TRINITY_DN21470_c0_g1_i1"	0.520646621534098	-0.7540373827707	-0.390894607156829	0.415878381099466	-0.755065264181522	0.880496648505487
"TRINITY_DN21470_c1_g1_i1"	0.525979329657764	-0.774584233718681	-0.376121010719515	0.38814848230467	-0.749002182190996	0.898758896499813
"TRINITY_DN21504_c1_g1_i1"	0.631899098495492	-0.735797927328193	-0.154915744674779	0.372927987888765	-0.515139980774538	0.611601882664439
"TRINITY_DN5656_c0_g1_i3"	-0.101336241952894	-0.0999339764743538	0.537705474419263	-0.191337946982989	0.612045510296101	-0.285168057272849
"TRINITY_DN5680_c0_g1_i1"	0.23124307553509	-0.762810274507172	-0.30305891263873	0.36356092559144	-0.685118828127649	0.977305787292316
