"id127_TPM"	"id280_TPM"
"TRINITY_DN10709_c1_g1_i4"	353.353	51.7902
"TRINITY_DN76882_c1_g1_i3"	483.747	101.979
"TRINITY_DN76810_c0_g1_i4"	2376.04	229.623
"TRINITY_DN76810_c0_g1_i11"	463.411	68.6381
"TRINITY_DN51425_c0_g2_i1"	767.504	91.5123
"TRINITY_DN67825_c1_g1_i5"	54.0525	1406.09
"TRINITY_DN42432_c0_g1_i17"	28.2645	726.452
"TRINITY_DN98770_c0_g1_i2"	451.313	61.7507
"TRINITY_DN4157_c1_g1_i3"	17.5538	1133.08
"TRINITY_DN64332_c2_g1_i1"	96.4424	3184.8
"TRINITY_DN9942_c1_g1_i19"	1198.91	126.555
"TRINITY_DN9942_c1_g1_i30"	1796.45	297.67
"TRINITY_DN2353_c3_g1_i12"	1199.41	81.328
"TRINITY_DN2354_c24_g1_i8"	972.992	177.869
"TRINITY_DN2354_c24_g1_i4"	434.148	68.803
"TRINITY_DN19108_c2_g1_i3"	1031.01	171.943
"TRINITY_DN45566_c0_g1_i9"	53.9866	787.584
"TRINITY_DN87096_c0_g1_i1"	57.4529	971.561
"TRINITY_DN20118_c0_g1_i2"	7031.11	1374.81
"TRINITY_DN20118_c0_g1_i3"	1168.56	219.047
"TRINITY_DN86288_c0_g1_i6"	43.6136	967.547
"TRINITY_DN10206_c6_g1_i9"	20.8323	1000.19
"TRINITY_DN17614_c0_g1_i3"	4825.79	765.35
"TRINITY_DN34986_c2_g1_i13"	62.562	4290.67
"TRINITY_DN60118_c0_g2_i2"	833.952	128.274
"TRINITY_DN25859_c0_g1_i1"	1390.95	146.318
"TRINITY_DN3529_c0_g1_i7"	455.266	67.0613
"TRINITY_DN3528_c2_g6_i1"	937.169	165.99
"TRINITY_DN16894_c1_g1_i6"	350.531	76.4392
"TRINITY_DN16809_c0_g1_i3"	406.981	57.3752
"TRINITY_DN58432_c2_g1_i3"	1028.18	102.708
"TRINITY_DN2655_c4_g1_i30"	342.059	49.3586
"TRINITY_DN2639_c1_g1_i3"	540.659	51.9585
"TRINITY_DN83856_c1_g1_i1"	3544.88	545.641
"TRINITY_DN1777_c1_g1_i35"	3765.2	454.966
"TRINITY_DN1777_c1_g1_i39"	1030.58	179.69
"TRINITY_DN1777_c1_g1_i7"	419.967	61.9478
"TRINITY_DN1777_c1_g1_i82"	2889.13	274.094
"TRINITY_DN1777_c1_g1_i54"	1244.56	201.586
"TRINITY_DN24002_c4_g1_i16"	363.521	9382.96
"TRINITY_DN65811_c0_g1_i6"	412.888	38.7073
"TRINITY_DN6635_c9_g1_i3"	1223.32	189.898
"TRINITY_DN97526_c1_g2_i1"	1808.9	271.429
"TRINITY_DN101_c9_g2_i1"	1215.46	230.619
"TRINITY_DN101_c9_g2_i9"	1520.31	129.478
"TRINITY_DN125_c32_g1_i5"	1452.48	245.112
"TRINITY_DN88591_c0_g1_i1"	717.693	51.5824
"TRINITY_DN12544_c0_g1_i1"	380.293	68.5668
"TRINITY_DN96898_c0_g1_i1"	369.156	49.1486
"TRINITY_DN54171_c0_g1_i4"	948.85	70.4252
"TRINITY_DN45084_c1_g1_i7"	325.692	45.1701
"TRINITY_DN19950_c2_g1_i2"	24.3004	726.984
"TRINITY_DN95960_c0_g1_i5"	24.2503	709.949
"TRINITY_DN62446_c0_g1_i3"	641.356	104.461
"TRINITY_DN9751_c0_g1_i5"	371.566	51.3669
"TRINITY_DN3090_c0_g1_i9"	3308.57	433.02
"TRINITY_DN86908_c0_g1_i1"	640.014	62.8529
"TRINITY_DN2167_c10_g1_i1"	3739.41	279.116
"TRINITY_DN2167_c10_g1_i5"	3176.39	385.592
"TRINITY_DN2105_c12_g1_i1"	787.709	161.613
"TRINITY_DN1261_c1_g2_i2"	1038.13	85.9586
"TRINITY_DN7054_c0_g1_i10"	25.7769	660.237
"TRINITY_DN905_c1_g1_i1"	1757.92	184.166
"TRINITY_DN75209_c0_g1_i2"	544.05	53.0748
"TRINITY_DN82659_c0_g1_i3"	7652.99	1371.39
"TRINITY_DN3329_c1_g1_i4"	753.49	67.4327
"TRINITY_DN56434_c0_g1_i7"	23.7635	1906.39
"TRINITY_DN2470_c1_g1_i22"	435.721	50.5411
"TRINITY_DN64634_c0_g1_i4"	450.871	45.4397
"TRINITY_DN1576_c4_g1_i1"	1240.53	116.302
"TRINITY_DN1565_c5_g1_i3"	743.593	60.7414
"TRINITY_DN7393_c3_g1_i6"	875.197	60.4699
"TRINITY_DN96346_c5_g1_i1"	587.4	63.6675
"TRINITY_DN19415_c4_g1_i1"	18.7534	1768.1
"TRINITY_DN11340_c1_g1_i1"	432.98	53.622
"TRINITY_DN11369_c2_g1_i6"	7530.89	1010.08
"TRINITY_DN11369_c2_g1_i1"	779.922	76.5203
"TRINITY_DN4617_c1_g1_i3"	397.152	55.4809
"TRINITY_DN35928_c0_g2_i4"	204.786	5510.83
"TRINITY_DN10535_c0_g1_i7"	486.714	46.6034
"TRINITY_DN1825_c0_g1_i1"	670.502	126.004
"TRINITY_DN1825_c6_g2_i7"	794.617	131.317
"TRINITY_DN1038_c1_g2_i17"	371.992	41.9283
"TRINITY_DN1038_c2_g1_i30"	1129.08	149.458
"TRINITY_DN1097_c51_g1_i1"	435.082	55.0221
"TRINITY_DN83064_c0_g2_i1"	878.059	133.586
"TRINITY_DN15267_c0_g2_i2"	104.338	3327.7
"TRINITY_DN15291_c3_g1_i5"	850.335	158.569
"TRINITY_DN15291_c3_g1_i2"	430.877	94.0556
"TRINITY_DN98663_c1_g1_i2"	1004.21	159.476
"TRINITY_DN4977_c10_g1_i2"	894.748	83.9079
"TRINITY_DN5056_c1_g1_i6"	554.431	68.5458
"TRINITY_DN81418_c3_g1_i1"	34.3668	716.603
"TRINITY_DN81500_c0_g1_i4"	81.735	2286.86
"TRINITY_DN798_c0_g1_i11"	553.871	95.0518
"TRINITY_DN798_c0_g1_i31"	1487.15	85.2551
"TRINITY_DN752_c6_g2_i2"	352.866	43.6025
"TRINITY_DN763_c3_g1_i15"	391.442	61.0607
"TRINITY_DN12810_c0_g1_i2"	313.881	52.0027
"TRINITY_DN12895_c9_g1_i2"	775.234	172.926
"TRINITY_DN1314_c23_g1_i1"	784.361	121.145
"TRINITY_DN20053_c3_g1_i3"	525.845	127.416
"TRINITY_DN20034_c1_g1_i24"	433.44	51.9391
"TRINITY_DN27236_c1_g1_i1"	7841.73	794.628
"TRINITY_DN71000_c0_g1_i11"	332.132	54.3813
"TRINITY_DN77172_c0_g1_i11"	320.646	40.4676
"TRINITY_DN85316_c1_g1_i8"	1630.88	135.327
"TRINITY_DN5312_c4_g1_i6"	29.6493	901.161
"TRINITY_DN60086_c1_g1_i4"	1727.37	227.575
"TRINITY_DN15850_c8_g1_i2"	315.431	56.9487
"TRINITY_DN15848_c0_g2_i4"	696.631	88.8287
"TRINITY_DN66569_c2_g1_i7"	104.574	3371.87
"TRINITY_DN9339_c3_g1_i5"	24.1342	827.872
"TRINITY_DN31220_c1_g1_i2"	570.006	39.8709
"TRINITY_DN31368_c1_g1_i3"	1665.9	54.1686
"TRINITY_DN38537_c11_g1_i1"	412.473	39.5772
"TRINITY_DN38634_c0_g2_i1"	312.314	42.4728
"TRINITY_DN13217_c0_g1_i2"	24.5102	624.437
"TRINITY_DN13292_c2_g1_i4"	876.387	207.938
"TRINITY_DN13292_c2_g1_i6"	1635.53	132.604
"TRINITY_DN46853_c1_g1_i1"	233.492	6901.34
"TRINITY_DN177413_c0_g1_i4"	588.131	47.0096
"TRINITY_DN185967_c0_g1_i4"	423.959	71.489
"TRINITY_DN120932_c1_g2_i1"	1063.35	118.625
"TRINITY_DN136469_c1_g1_i8"	198.882	5451.72
"TRINITY_DN113030_c0_g1_i1"	656.16	114.782
"TRINITY_DN100681_c0_g1_i1"	412.911	83.3357
"TRINITY_DN118486_c1_g1_i8"	30.5097	1028.09
"TRINITY_DN126020_c1_g1_i6"	608.636	57.3352
"TRINITY_DN157823_c0_g1_i3"	1341.2	144.815
"TRINITY_DN140413_c0_g1_i1"	6850.41	743.214
"TRINITY_DN179822_c0_g2_i1"	502.517	73.1355
"TRINITY_DN174753_c0_g2_i7"	49.2052	1527.26
"TRINITY_DN147551_c0_g1_i2"	8607.96	1360.15
"TRINITY_DN111092_c0_g1_i2"	632.196	81.1063
"TRINITY_DN111092_c0_g1_i4"	632.196	81.1063
"TRINITY_DN139882_c0_g1_i8"	348.275	52.6065
"TRINITY_DN150923_c0_g1_i3"	107.809	2910.61
"TRINITY_DN123969_c0_g1_i3"	42.7342	2112.34
"TRINITY_DN135625_c0_g2_i3"	63.4848	1106.53
"TRINITY_DN105558_c0_g1_i2"	524.598	11445.6
"TRINITY_DN135915_c0_g1_i4"	599.281	53.917
"TRINITY_DN102870_c2_g1_i1"	672.769	33.8458
"TRINITY_DN134707_c0_g1_i6"	2743.77	723.504
"TRINITY_DN178873_c1_g2_i1"	764.019	91.9161
"TRINITY_DN148179_c0_g1_i4"	324.308	47.2488
"TRINITY_DN148183_c0_g1_i12"	1481.02	178.253
"TRINITY_DN140269_c0_g1_i1"	23.874	833.238
"TRINITY_DN112480_c0_g1_i2"	62.2624	1387.62
