"kMEblack"	"kMEbrown"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEpurple"	"kMEred"	"kMEsalmon"	"kMEtan"
"TRINITY_DN21478_c0_g1_i1"	-0.341278673536215	0.865780263137626	0.244034007746253	-0.283916415890087	-0.300533177084044	0.384791909427178	0.296212693272653	0.382535922201215	-0.1408928730134
"TRINITY_DN21505_c1_g1_i1"	0.832008229838401	-0.76753526825207	-0.435879564438917	-0.0451078838285994	0.463166444199134	-0.297318511258385	-0.737218030918943	-0.0574184667749436	0.381451548400641
"TRINITY_DN21499_c0_g1_i1"	0.718823981747392	-0.458737247961235	0.386803501709288	0.257982395039641	0.516982639949725	-0.0730745513630275	-0.608939309306358	0.570874840564096	0.278808944679465
"TRINITY_DN21444_c0_g2_i1"	-0.445866669690066	0.919061516286647	0.0652480882468529	-0.0543034712270108	-0.448605381471582	0.187711005134356	0.437654603690186	0.235933013117559	-0.375371105478073
"TRINITY_DN21517_c0_g2_i1"	0.969780288382571	-0.679264683064501	-0.168142734820086	-0.0871312900137197	0.528737298993389	-0.250332387572287	-0.860655906197114	0.144877004563592	0.471160426822638
"TRINITY_DN21517_c0_g1_i1"	0.969152216610607	-0.680820953931409	-0.236917850105574	-0.0892178694543591	0.464282951739056	-0.237839025421809	-0.836405601383197	0.106125248790195	0.438115595677751
"TRINITY_DN21490_c0_g1_i1"	-0.719377967856932	0.552477095653688	0.35570924015797	0.143054550376617	-0.622731083778251	-0.11463804374121	0.896735228402694	-0.0402920637958082	-0.368991584822503
"TRINITY_DN21494_c1_g1_i2"	0.436346370899702	-0.398464429804671	-0.345835949444179	0.0123289876546661	0.175679779799293	-0.308989465717453	-0.371352746214666	0.280208053544695	0.241700398925001
"TRINITY_DN21470_c0_g1_i1"	0.898910637162591	-0.719482568809852	-0.2703574211491	-0.0411578810218276	0.610893808458597	-0.315972303994439	-0.834930452503576	0.0539247584854751	0.460480616288001
"TRINITY_DN21470_c1_g1_i1"	0.902483998082745	-0.690422993978517	-0.285368323900263	-0.0751561501090353	0.611695124044157	-0.3073601921079	-0.842426308429993	0.0468856202752263	0.423034896933607
"TRINITY_DN21504_c1_g1_i1"	0.617197560719854	-0.427245827698744	-0.0448491413857049	0.151080743845464	0.742960647974028	-0.175888601154647	-0.732868895439155	0.0629643965700157	0.334746128340661
"TRINITY_DN5656_c0_g1_i3"	-0.208499885577828	0.688435243038326	-0.319283473160907	-0.23917651352652	-0.0543637582377038	0.536968191661359	-0.117626058702132	0.0440033649168536	-0.227123990290075
