Accession_ID,log2FoldChange
O95180,NA
Q2R2B4,-0.709228150601061
Q5JKF2,NA
Q7DLR9,NA
Q09911,3.22373734669221
Q6AYD3,2.07550069810524
P93028,NA
P0C6F1,NA
E9AE57,NA
Q98TF5,5.74873346787564
Q6P8E9,-0.325317788341059
Q9C0G6,NA
Q0VCA8,NA
Q66H60,NA
P92177,NA
P35728,NA
Q01989,NA
Q9VL72,NA
Q9URX7,NA
Q8K0V4,1.15771755274672
O99252,1.56988244273717
O99252,1.56988244273717
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q4U2R1,2.59095365142826
Q8NB25,NA
Q93VG8,-1.05307233657177
P38088,3.57219647481001
Q9CWX9,NA
Q5SGD2,NA
Q7SIB7,5.2202388094524
F4ISQ7,0.67682716113645
Q55BZ4,NA
O09053,NA
Q6P861,NA
Q7UHU7,NA
P25847,NA
P51817,NA
Q9WTR7,0.636467228251839
F4K2E9,2.73707090682873
Q6Q151,-1.78274967003767
P29468,NA
P0CM54,NA
Q0WMV8,1.12107909581277
Q803I2,NA
Q54PF3,NA
A4PBL4,2.73707090682873
P62255,NA
Q06450,NA
Q9SMH3,NA
Q8GYX8,NA
Q8W4D0,1.40572853873604
P59708,1.43435244438753
Q1RMR2,NA
Q61XD3,NA
O94268,4.8960457037637
Q61239,0.476688615040081
Q99759,NA
Q9SSD2,NA
Q06010,NA
Q54EQ8,2.73707090682873
O44001,-1.26547241116752
Q8GZ43,-2.45579771168519
Q2TBI4,-2.95576367053596
O48557,NA
Q8VD72,NA
Q3E793,NA
Q8GW48,5.11163706630571
Q8H4S6,NA
Q6MEC9,4.07842542845571
Q22000,NA
B0E2U2,NA
B0E2U2,NA
Q6BLM5,1.59461292560206
Q8IZU2,NA
Q75HE6,0.636467228251839
A5UPS3,5.64648632330567
P31320,NA
Q8K596,NA
O60145,NA
Q49SH1,NA
Q43362,-1.33706145273434
Q9VR91,NA
Q8LGF7,NA
P49633,4.64780922007052
Q4G0P3,NA
Q3UTQ8,NA
Q54VI3,NA
Q54RJ1,-0.325317788341059
Q8W4I9,NA
Q5Y5T2,NA
P94132,NA
P11118,NA
Q5B0V6,NA
P62783,1.23812110026888
Q8WXX0,NA
Q09775,1.15771755274672
Q03042,NA
Q6DGL8,NA
Q80Z71,NA
Q9LT02,NA
Q61WR2,NA
Q54XK2,NA
Q8GWE6,0.155575887686429
Q9CZU3,NA
Q9SAF5,NA
Q5RD73,NA
Q54PK4,NA
Q9VF81,NA
P24044,NA
P49935,NA
O94248,NA
P50503,2.73707090682873
Q93HU4,NA
Q6QNM1,NA
Q5ZIM5,1.63561491723649
Q8LPN7,NA
Q9P1Q0,0.636467228251839
Q8W036,NA
Q8W036,NA
Q5RA75,NA
P54856,-0.325317788341059
Q9VXK6,-0.0227070619365582
Q9ZGI5,NA
Q9ZGI5,NA
Q9ZGI5,NA
Q8IVF4,NA
Q869Q2,-5.91903813810602
P52427,0.67682716113645
E3WDQ9,NA
E3WDQ9,NA
E3WDQ9,NA
Q9HDY4,NA
Q6QNM1,NA
Q55AX0,NA
Q8VYP5,NA
Q6EQX3,NA
B8JAX1,1.15771755274672
Q9P2P6,NA
Q9UVH3,NA
P53498,NA
Q80SU7,NA
P02385,1.15771755274672
Q01780,NA
B0CPJ0,NA
