Accession_ID,log2FoldChange
O15865,-0.797083282562589
Q8IVF4,NA
Q1MTE5,NA
Q91V76,1.72379458360664
A8HQ54,NA
A9UNU6,NA
P14091,1.38852270635758
Q8RXE7,NA
Q9P2D6,1.388522719424
Q9P2D6,1.388522719424
Q55ED4,-1.18712777593466
O60447,NA
Q8LPJ4,NA
Q8LPJ4,NA
P07857,NA
P0DPD7,NA
Q6ZRS2,-1.18712777593466
Q8IWZ6,-0.797083282562589
Q820S0,NA
O77302,-0.1935936900216
Q04656,NA
P00504,NA
Q9LFN6,1.388522719424
Q9LIS2,NA
Q9SQN2,NA
Q6MDE0,NA
Q9USK1,1.13840454125783
P56286,NA
Q0CY48,NA
P30707,NA
Q923G5,NA
Q54CD8,NA
B6EUA9,NA
Q962U1,NA
Q92PX0,NA
Q8TGM7,-3.65930983673812
Q8VD72,NA
Q8IZN3,NA
P40341,NA
Q03042,NA
Q8GWE6,NA
F1R777,NA
Q9SFU0,NA
Q29079,NA
P46952,NA
Q9FHN8,NA
Q9LNW3,NA
O99256,2.71658730196368
Q9P784,NA
O74862,1.13840454125783
Q16644,NA
Q2WGJ9,NA
Q8GYX8,NA
Q92630,NA
Q05746,NA
D3YXG0,NA
D3YXG0,NA
D3YXG0,NA
D3YXG0,NA
D3YXG0,NA
P42036,NA
Q0P5C0,NA
P46976,NA
F4ISQ7,0.244693050348521
P9WQE6,NA
Q9XF61,NA
Q9XF61,NA
Q0IMS9,NA
P27323,1.97882996149797
B7F845,-0.902638913039139
Q96VG1,NA
Q00WL5,NA
P9WJB5,1.38852270635758
O95628,NA
Q5RFT1,NA
Q46NS0,NA
Q9ZQW8,NA
Q50KB1,NA
O80480,NA
O80480,NA
Q9JLG8,NA
P80439,0.40903646120127
Q5RCS9,1.13840454125783
Q8LPN7,NA
Q6ZTR5,NA
Q6ZTR5,NA
Q94C49,NA
P36774,NA
Q42438,NA
P22125,0.279358079507531
Q15782,NA
P51272,NA
Q9XER8,NA
Q00973,NA
Q9JKN6,NA
Q61CA3,NA
Q45FA5,NA
Q40784,NA
Q4FP38,-0.955476024203845
P43332,NA
Q8T882,NA
Q1QLI8,1.13840454125783
Q9FL69,NA
Q9SXD1,NA
Q9SXD1,NA
Q9SXD1,NA
Q9SXD1,NA
Q9SXD1,NA
Q9SXD1,NA
Q9SXD1,NA
Q6BI69,1.45251249660495
Q93VV0,NA
Q4S4I5,NA
Q05920,NA
Q8NB25,NA
M0R8U1,NA
Q5RC80,NA
Q9JMJ4,-1.47685205962551
Q9JMJ4,-1.47685205962551
Q5ZMS6,NA
O75037,NA
P25847,1.13840454125783
Q9XFG3,NA
Q3A943,NA
Q869L3,NA
P35728,NA
Q9FIX3,NA
P74598,NA
Q9BYK8,NA
Q9Y0V6,NA
Q81QK2,NA
Q9AUV6,NA
Q2A865,NA
Q9LPM9,NA
B9EJR8,NA
A0A1B4XBG9,NA
Q2HJ56,1.45251249660495
Q9ZWG1,NA
Q9ZWG1,NA
Q553S2,NA
Q553Y7,NA
A4IIN5,NA
P11118,NA
A6R7B8,NA
Q9C7F5,NA
P0C1I8,NA
Q9LFP3,NA
Q9SLA2,NA
Q642H9,1.72379458360664
Q5PQZ3,NA
Q6P4T2,NA
