Crab	HLH	HTL_or_HL	LHL	LTH_or_LH	HH	LL	Mixed	Total_genes
A	0.2%	12.4 %	10.3%	77.1%	NA	NA	0%	64,736
B	3.3%	18.4%	50.9%	27.4%	NA	NA	0%	40,955
C	15.3%	41.8%	18.8%	24.1%	NA	NA	0%	26,745
E	17.3%	43.7%	16.0%	23.0%	NA	NA	0%	28,188
G	NA	56.2%	NA	42.6%	0%	0%	1.1%	32,948
H	NA	62.2%	NA	29.6%	7.6%	0%	0.6%	19,636
I	NA	54.1%	NA	45.8%	0%	0%	0.1%	20,904
