"","HTL","LHL","LTH","HLH","HL","MIX","LH"
"Crab_A",70,72,88,NA,NA,NA,NA
"Crab_B",116,98,32,10,NA,NA,NA
"Crab_C",32,52,115,51,NA,NA,NA
"Crab_D",24,42,55,25,NA,NA,NA
"Crab_E",59,47,83,NA,NA,NA,NA
"Crab_F",54,11,66,5,NA,NA,NA
"Crab_G",NA,NA,NA,NA,2,210,NA
"Crab_H",NA,NA,NA,NA,NA,161,NA
"Crab_I",NA,NA,NA,NA,NA,126,19
