Crab	HLH	HTL_or_HL	LHL	LTH_or_LH	HH	LL	Mixed	Total_genes
A	0	22	35	124	NA	NA	0	181
B	0	577	409	31	NA	NA	0	1,017
C	150	156	364	1,994	NA	NA	0	2,664
E	0	39	17	36	NA	NA	0	92
G	NA	2	NA	0	0	0	278	280
H	NA	0	NA	0	0	0	91	91
I	NA	0	NA	19	0	38	42	99
