Crab	HLH	HTL_or_HL	LHL	LTH_or_LH	HH	LL	Mixed	Total_genes
A	0	12.2%	19.3%	68.5%	NA	NA	0	181
B	0	56.7%	40.2%	3.1%	NA	NA	0	1,017
C	5.6%	5.9%	13.7%	74.8%	NA	NA	0	2,664
E	0	42.4%	18.5%	39.1%	NA	NA	0	92
G	NA	0.7%	NA	0	0	0	99.3%	280
H	NA	0	NA	0	0	0	100%	91
I	NA	0	NA	19%	0	38%	42%	99
