"","HLH","HTL","LHL","LTH","HL","LH","MIX"
"Crab_A",108,3434,3839,6838,NA,NA,NA
"Crab_B",1464,5537,5121,3132,NA,NA,NA
"Crab_C",2932,5258,1534,3034,NA,NA,NA
"Crab_D",1687,4381,4408,3300,NA,NA,NA
"Crab_E",937,5043,3511,3671,NA,NA,NA
"Crab_F",84,7351,1299,3835,NA,NA,NA
"Crab_G",NA,NA,NA,NA,674,3641,11340
"Crab_H",NA,NA,NA,NA,1068,1718,9655
"Crab_I",NA,NA,NA,NA,3967,2401,6448
