"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreenyellow"	"kMEred"	"kMEsalmon"	"kMEyellow"
"TRINITY_DN88421_c0_g1_i1"	-0.331439154505242	-0.618646005424232	0.272257892049153	-0.168817012482716	-0.382406981389533	0.445650209763616	-0.365759269671528	0.944325396815999
"TRINITY_DN88418_c0_g1_i5"	-0.340512756845058	-0.596120815375541	0.222330658595901	-0.195434779311395	-0.338346714102509	0.405059521072828	-0.342718271402923	0.948734213122907
"TRINITY_DN88415_c0_g1_i2"	-0.436787321549498	-0.74401875819261	0.480715335754315	0.0370134691862026	-0.169802513311274	0.338548684142268	-0.413664523382115	0.874845891320738
"TRINITY_DN88474_c0_g1_i2"	0.892571298611303	0.915136795593846	-0.638643980494359	-0.227724822778633	0.164082633553688	-0.44302349216185	0.262477801462967	-0.55735275317078
"TRINITY_DN88425_c0_g1_i2"	-0.587059791855192	-0.833343417121929	0.893642106047319	0.0739104495868861	-0.403935920169084	0.156539188469825	-0.417292512106152	0.742947498594328
"TRINITY_DN88476_c0_g2_i1"	-0.535053243550551	-0.605405632763423	0.890977652716807	0.277358934207209	-0.219457329829539	0.0558645880935332	-0.213886233088447	0.340629059129671
"TRINITY_DN88409_c0_g1_i3"	-0.0375467414492308	0.337712508335938	-0.153110667950172	-0.00904627610064913	-0.144897542524371	-0.267665959019678	0.603386228180161	-0.382269775972125
"TRINITY_DN21442_c0_g2_i1"	-0.347566199620724	-0.684862196210343	0.339899872392743	-0.0749626573920952	-0.246959616935822	0.438227183860157	-0.486177448712145	0.937586551764852
"TRINITY_DN21452_c2_g1_i8"	0.352179571886832	0.748978978438355	-0.425161451707479	0.218733638480093	0.431927162358677	-0.670300987558561	0.327344632656659	-0.538673744833713
"TRINITY_DN21434_c5_g1_i3"	0.584123893958291	0.915872180209005	-0.508944364774657	0.0638102622680774	0.336828666515158	-0.671409413776865	0.268542436740777	-0.672935749436976
"TRINITY_DN21454_c1_g1_i2"	0.770825813869952	0.669415093187832	-0.480031265849311	0.119819858474953	0.516672366183517	-0.456197443014385	0.367868734061817	-0.394202557416604
"TRINITY_DN21443_c0_g1_i2"	-0.634017286863329	-0.862419632258424	0.715648588787832	-0.0428592501794179	-0.406771341163112	0.338751032813845	-0.402132731528526	0.868440389417139
"TRINITY_DN21491_c1_g1_i1"	-0.452808288940069	-0.63360951315741	0.766750962759929	0.240992689580784	-0.196352232055356	0.0631527622347478	-0.167762908374666	0.297542098753265
"TRINITY_DN21406_c11_g1_i1"	0.556815061948827	0.933775963316698	-0.617460424582717	-0.0112909433771705	0.315049699237419	-0.60953767816564	0.251665039649406	-0.698978902672947
"TRINITY_DN21425_c2_g3_i2"	-0.470939083653659	-0.523449412085517	0.854106937636193	0.168091941154398	-0.307061961229945	-0.0147417032736314	-0.312983251794017	0.416527494959151
"TRINITY_DN21430_c0_g1_i1"	-0.238544805345069	-0.610697720826027	0.296759149918909	-0.183497300980173	-0.31923041148584	0.40175997527708	-0.389969810613815	0.928802780229165
"TRINITY_DN21410_c0_g1_i21"	-0.446668068906671	-0.529184411266485	0.767206124834367	0.340731117596445	-0.180163779371454	0.0641775508875212	-0.181802452913437	0.315767679404622
"TRINITY_DN21460_c0_g1_i36"	-0.37573184629875	-0.603120821382023	0.315066545268916	-0.0820177396377249	-0.324152279740232	0.414633541111605	-0.33618563587009	0.916013727633655
"TRINITY_DN21460_c0_g1_i38"	-0.529199369979818	-0.787976634737618	0.564659223390885	-0.0979954407745388	-0.396531077926846	0.380794873995084	-0.395584614766909	0.970765666579734
"TRINITY_DN5656_c11_g1_i8"	0.344683521627012	0.807028561617323	-0.468252949155802	-0.0498026368273571	0.149242537166409	-0.575750279949442	0.406466170433311	-0.667151621236268
"TRINITY_DN5644_c12_g1_i16"	0.662835020514961	0.943815701550539	-0.699202797229039	0.0228462881227139	0.41096613199108	-0.519031411569365	0.424473142455934	-0.779070368781348
"TRINITY_DN5644_c14_g1_i3"	0.599992509538809	0.806711680080047	-0.730785911110181	0.0883312612649356	0.469899516212099	-0.272318961327332	0.120474299364121	-0.624353650888711
"TRINITY_DN5644_c0_g1_i9"	0.608978382508838	0.924268224973353	-0.713494173324804	0.00520234561894949	0.377903713910865	-0.560389295628878	0.410705429975824	-0.760531214513388
"TRINITY_DN5644_c7_g1_i1"	0.778534494905528	0.894810279504459	-0.681951235597296	-0.0936379144977354	0.305508092357238	-0.48881587120179	0.230447052675289	-0.571443882855288
"TRINITY_DN5644_c10_g1_i4"	-0.492443858311328	-0.748951180369845	0.763412484868392	-0.0679870066904944	-0.47492851373696	0.133382839072214	-0.444069091880944	0.821012267574283
"TRINITY_DN5614_c0_g1_i8"	-0.180969527911525	0.41113226276122	-0.328493627353215	0.148956066052511	0.137995152140647	-0.258541685017299	0.502157029671806	-0.525131339110286
"TRINITY_DN5651_c0_g1_i3"	0.653436237343503	0.92436111709977	-0.674293947972505	-0.136102734920598	0.152542000127837	-0.535039225274288	0.444654103901491	-0.681764386973318
