"","HLH","HTL","LHL","LTH","MIX","HL","LH"
"Crab_A",47,2424,2620,2279,NA,NA,NA
"Crab_B",1644,1806,2567,1496,NA,NA,NA
"Crab_C",887,2728,944,2541,NA,NA,NA
"Crab_D",400,358,2743,3572,NA,NA,NA
"Crab_E",635,2450,2886,1422,NA,NA,NA
"Crab_F",93,4228,1761,1158,0,NA,NA
"Crab_G",NA,NA,NA,NA,3972,300,3386
"Crab_H",NA,NA,NA,NA,7000,NA,154
"Crab_I",NA,NA,NA,NA,7045,98,207
