"073"	"221"	"427"
"TRINITY_DN1038_c5_g1_i2"	0	36.5204	24.2559
"TRINITY_DN1001_c537_g2_i1"	1.53738	5.41908	5.79636
"TRINITY_DN4933_c1_g1_i8"	0	7.6239	10.8382
"TRINITY_DN792_c6_g1_i18"	11.8505	64.267	76.4862
"TRINITY_DN793_c6_g2_i2"	3.482	4.88845	5.65576
"TRINITY_DN97885_c1_g1_i2"	2.53956	22.2284	14.481
"TRINITY_DN72560_c0_g2_i1"	11.9717	37.1647	24.8138
"TRINITY_DN12883_c4_g1_i1"	0.379145	89.297	173.565
"TRINITY_DN8908_c1_g1_i6"	0	3.45102	4.78849
"TRINITY_DN2239_c12_g3_i1"	0	6.29807	3.10556
"TRINITY_DN28140_c2_g1_i9"	0	9.34898	13.4996
"TRINITY_DN1344_c1_g1_i2"	1.78826	2.73585	2.82832
"TRINITY_DN70810_c0_g1_i2"	0	0.0631337	0.0327939
"TRINITY_DN10135_c0_g1_i4"	0	0.133985	0.0985944
"TRINITY_DN26538_c11_g1_i1"	43.6934	85.3959	69.0526
"TRINITY_DN6238_c0_g2_i1"	1.21812	2.46878	2.79546
"TRINITY_DN5334_c1_g1_i3"	0	4.23169	2.88195
"TRINITY_DN5317_c12_g1_i1"	0	2.70765	1.30701
"TRINITY_DN5357_c2_g1_i6"	0.236014	4.29145	7.1489
"TRINITY_DN16653_c1_g1_i3"	0	6.16175	3.16579
"TRINITY_DN58207_c2_g2_i1"	5.24851	12.2224	17.5888
"TRINITY_DN9397_c5_g1_i2"	63.2841	117.225	130.866
"TRINITY_DN9319_c0_g1_i17"	0.842203	1.87965	1.34552
"TRINITY_DN1647_c2_g1_i4"	0	1.97373	0.948885
"TRINITY_DN47680_c3_g1_i7"	2.60552	73.9856	34.3661
"TRINITY_DN29561_c1_g1_i1"	0.903266	46.66	23.7393
"TRINITY_DN192994_c0_g1_i1"	0	14.7098	6.88658
"TRINITY_DN152885_c1_g1_i1"	3.73242	5.14947	5.5985
"TRINITY_DN199439_c1_g1_i4"	0	0.326494	0.348296
"TRINITY_DN173288_c0_g1_i5"	1.7514	2.6401	2.89342
"TRINITY_DN178652_c0_g1_i3"	4.02367	6.32208	7.31781
"TRINITY_DN123406_c0_g1_i1"	0	0.0258195	0.0279244
"TRINITY_DN118071_c0_g1_i2"	0	8.6468	5.09779
"TRINITY_DN110063_c5_g1_i1"	0.446855	6.5109	3.60625
"TRINITY_DN114915_c0_g3_i1"	0.319458	3.01101	5.3795
"TRINITY_DN199711_c1_g1_i2"	0.172772	0.309911	0.29926
