Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D10,FAM,Hemato,Unkn-20,31-F01,,30.03822327,31.27888578,1.754561741,155.7007181,2.192290616,91.01395051,91.48090407,72,
D09,FAM,Hemato,Unkn-20,31-F01,,32.51954828,31.27888578,1.754561741,26.3271829,1.420404391,91.01395051,91.48090407,72,
E09,FAM,Hemato,Unkn-25,31-F02,,35.57984853,36.57537546,1.407887675,2.940434864,0.468411563,1.823407137,1.579715762,72,
E10,FAM,Hemato,Unkn-25,31-F02,,37.57090238,36.57537546,1.407887675,0.706379409,-0.150961969,1.823407137,1.579715762,72,
C10,FAM,Hemato,Unkn-15,31-E12,,26.06984509,25.41505853,0.926008035,2671.571046,3.426766728,4748.629533,2937.404282,72,
C09,FAM,Hemato,Unkn-15,31-E12,,24.76027197,25.41505853,0.926008035,6825.688019,3.834146434,4748.629533,2937.404282,72,
B05,FAM,Hemato,Unkn-08,31-C02,,31.90456659,32.4719912,0.80245959,40.8989177,1.611711815,29.52045355,16.09157831,72,
B06,FAM,Hemato,Unkn-08,31-C02,,33.03941582,32.4719912,0.80245959,18.14198941,1.258684909,29.52045355,16.09157831,72,
F12,FAM,Hemato,Std-12,,,33.16812758,32.62232878,0.771876066,30,1.477121255,30,0,72,
F11,FAM,Hemato,Std-12,,,32.07652998,32.62232878,0.771876066,30,1.477121255,30,0,72,
D05,FAM,Hemato,Unkn-18,31-C11,,36.59226116,37.11792728,0.743404159,1.42387552,0.153472023,1.047208336,0.53268784,72,
D06,FAM,Hemato,Unkn-18,31-C11,,37.6435934,37.11792728,0.743404159,0.670541151,-0.173574564,1.047208336,0.53268784,72,
E05,FAM,Hemato,Unkn-23,31-D01,,29.62080244,29.21296422,0.576770345,209.9622192,2.322141154,293.2811245,117.8307258,72,
E06,FAM,Hemato,Unkn-23,31-D01,,28.805126,29.21296422,0.576770345,376.6000297,2.57588035,293.2811245,117.8307258,72,
D02,FAM,Hemato,Unkn-16,37-A04,,33.05161859,32.66783905,0.542746219,17.9841077,1.254888895,24.57429152,9.319927336,72,
