Accession_ID,log2FoldChange
P23347,-1.53666721468433
Q5RC24,-0.817034893671408
Q9V3C5,-0.653480731024723
P30416,1.85716738627355
Q1ZXK3,-0.590769233838236
Q5R6Z6,NA
A7MBL8,-1.9401738512424
Q9VIL0,-1.146474948901
O35674,NA
P11169,0.930504201346984
Q3T906,2.26172252823204
Q8TDN6,0.00595020237969296
Q0P5F9,-0.718679014529889
P25526,2.09713830343763
Q96T88,-2.65153148597999
Q06210,-0.614436684880135
Q0III3,0.856269874808446
P04829,-1.86729880263901
Q9Y6Y0,0.181784439761556
Q9Y6Y0,0.181784439761556
Q9Y6Y0,0.181784439761556
Q5PPV4,-1.72247220768246
Q8SS35,NA
Q9GZN1,-1.16304142801573
Q172G3,-0.8139657879596
Q86VP6,-0.113141019340596
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q6ZNA1,-0.601830871929895
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q9HCG1,-5.3757269708004
Q66H20,0.256160705430138
A6NDG6,-0.630818977910218
Q4R7H4,1.02805886080385
Q9Y6J0,1.37347365278236
Q5R9A7,2.08616417222718
Q3SYU3,-0.0759596554372397
Q9NR09,1.44782906379209
P36406,-1.8439056243699
Q80V03,1.4478291962216
Q5TJF7,1.69860015735905
P59114,-0.590769233838236
Q5F471,-3.95887844305821
P91660,-2.2518369678122
Q96KP4,-0.478184855588359
P11369,2.11413565445484
Q9VH78,-1.35922249163884
Q5R844,3.16997590758488
Q04164,-0.0152267513406995
Q04164,-0.0152267513406995
Q9BUF5,0.856269874808446
Q812A3,NA
Q812A3,NA
Q812A3,NA
P11503,-0.345268305130603
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
P18751,-3.17234388961826
C0KJQ4,1.80939623915132
Q6UW63,-2.41429232273868
Q963B7,NA
Q03270,4.15150607312431
Q1EHB4,-1.98555767521857
O75063,0.329549365823539
O75063,0.329549365823539
P13590,-4.37065552829549
Q5M865,-0.431307690939352
Q5YLG1,-2.01339193002101
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q96SE7,-0.962988478419279
Q149N8,NA
O17389,-0.448972723748651
O17389,-0.448972723748651
Q0P5H7,NA
P48506,NA
Q29504,-2.34904074015693
Q04164,1.73528748868542
P35969,-0.0433443584608322
Q15751,1.3211783009148
Q15751,1.3211783009148
O66113,-6.45515265182104
A2RRV9,-2.26235735868749
Q9D9P2,-1.27454682272623
B3A0R0,-2.77603519812686
Q8T498,-2.06636664141936
Q96QU8,-1.70967600446408
A7Z019,-1.77221735414878
P35969,-2.1769257912874
Q9VN03,1.03469191292771
Q94HW2,-0.50196814053818
O17554,3.11370904072699
Q9VP76,-1.64043192890348
Q9VP76,-1.64043192890348
Q9VP76,-1.64043192890348
Q9JI90,-1.89295235703884
P21328,5.14331052624369
B2U8U5,2.54748825020702
P21328,1.32802498484607
Q09575,-0.0427714127217184
Q2TLZ5,0.994122411198051
Q9NRX5,1.28383951990044
Q7TN79,-0.879428291163571
Q5R762,-0.528854465327761
Q6ZQ88,-0.56284323767718
Q9NV72,-1.39277832216735
Q9NV72,-1.39277832216735
Q9NV72,-1.39277832216735
Q9NV72,-1.39277832216735
Q9NV72,-1.39277832216735
Q9NV72,-1.39277832216735
Q5R723,0.926756387735999
Q5VW22,1.44782906379209
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
Q5CZA5,NA
