"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEmidnightblue"	"kMEpurple"	"kMEsalmon"	"kMEyellow"
"TRINITY_DN21478_c0_g1_i1"	-0.318565526450111	0.809073179393781	0.432565148189285	0.320948176974584	-0.680775176288501	-0.299743881875908	-0.123089221149188	0.383584029897179	-0.118552582183925	0.192822392328112
"TRINITY_DN21505_c1_g1_i1"	0.835122139650431	-0.821535799310587	-0.0392191893419933	-0.441951078577354	0.174005979628618	0.464588703376542	-0.22902680315495	-0.308510712388447	0.381873321600283	-0.645685422692764
"TRINITY_DN21499_c0_g1_i1"	0.713223564653235	-0.497003461827847	0.570670349908515	0.348544036556602	-0.0972559957373865	0.506557487095298	-0.38271236482844	-0.0870692905574499	0.290740214932911	-0.54780410332112
"TRINITY_DN21444_c0_g2_i1"	-0.430617343353032	0.906990247196367	0.279487502785038	0.107979566007821	-0.51737920294718	-0.452779427359713	-0.00175197296572428	0.193522447805395	-0.380132807714311	0.321580002659395
"TRINITY_DN21517_c0_g2_i1"	0.974210295267657	-0.747265915634446	0.131724152037582	-0.211889752174399	-0.11200599291772	0.51729615310852	-0.435496163771586	-0.244797111077992	0.462870488260299	-0.812641860519887
"TRINITY_DN21517_c0_g1_i1"	0.972750325869518	-0.743513822134787	0.0975201200524449	-0.260933300036008	-0.101818381081864	0.45977684802411	-0.374308521561667	-0.233842387379704	0.431995997848759	-0.786774680638524
"TRINITY_DN21490_c0_g1_i1"	-0.704796322797033	0.687923097677976	-0.0230601188125531	0.393420378423859	-0.131486024787697	-0.639251427784957	0.437137227075569	-0.0971701602981149	-0.370871992057091	0.840502625363744
"TRINITY_DN21494_c1_g1_i2"	0.440727762151717	-0.405826308139673	0.322671115584606	-0.359193917252643	0.236666677749559	0.18339232239123	-0.101606754618461	-0.290434531687522	0.237093121033536	-0.339760872464855
"TRINITY_DN21470_c0_g1_i1"	0.911578195852845	-0.784974598859853	0.0482396955839806	-0.300976583550261	0.0497612225314075	0.596774523810033	-0.381967031209817	-0.308551621437707	0.455847678643155	-0.782461491840651
"TRINITY_DN21470_c1_g1_i1"	0.91721158461293	-0.760996514123446	0.0489069644584064	-0.313416279465248	-0.0135449269031456	0.593817482751593	-0.402820376231493	-0.298520569434059	0.420133847165557	-0.792463391212322
"TRINITY_DN21504_c1_g1_i1"	0.624424417317642	-0.494404448006288	0.0409859687764502	-0.0834936327942116	0.00972690610266855	0.709884400465023	-0.436840896621669	-0.161152207928525	0.332265512147204	-0.731891454824554
"TRINITY_DN5656_c0_g1_i3"	-0.196630658319046	0.582150088533538	0.102880475301408	-0.272228651858695	-0.351233096495479	-0.050536954193553	-0.177938006814896	0.538633432694466	-0.232241221593377	-0.238810588717596
"TRINITY_DN5680_c0_g1_i1"	0.981419524736672	-0.701298974826812	0.0541386659756175	-0.346983996005616	-0.140841062463009	0.314462089092753	-0.345998122498314	-0.237287992314954	0.418629555455001	-0.770052792014162
