"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"	"kMEtan"	"kMEturquoise"
"TRINITY_DN21478_c0_g1_i1"	0.115902885727964	0.701210696450603	-0.111671236795413	-0.331336249233969	0.330132802510204	-0.559468595294839	-0.358755942396301
"TRINITY_DN21505_c1_g1_i1"	0.206026607300803	-0.753481896803064	0.253635855372958	0.295187843294919	-0.167198565568956	0.529293148817619	0.822229030497256
"TRINITY_DN21499_c0_g1_i1"	0.627806174465965	-0.464323274246819	-0.0513853582308265	0.608698352888158	-0.0521122317041771	-0.169137860911741	0.678539127752139
"TRINITY_DN21444_c0_g2_i1"	0.202718866485569	0.842368441463233	-0.325728918470503	-0.357333137427922	0.123201495127477	-0.711898086154931	-0.476787797041867
"TRINITY_DN21517_c0_g2_i1"	0.151053871587069	-0.881251476016218	0.365879915347263	0.453704896578499	-0.305679416340715	0.392131601422319	0.956613305893228
"TRINITY_DN21517_c0_g1_i1"	0.129100206681094	-0.86900360477066	0.355132224353895	0.390741975004811	-0.207401698852609	0.413312361929762	0.96313255160848
"TRINITY_DN21490_c0_g1_i1"	-0.137813229491254	0.904907838591959	-0.515086386053708	-0.5570383279993	-0.0195098200054491	-0.619419066463265	-0.780287872990873
"TRINITY_DN21494_c1_g1_i2"	0.410958110336119	-0.370195159684325	0.365194590790713	0.163404964622353	-0.371438618616391	0.510547540864289	0.464952528381412
"TRINITY_DN21470_c0_g1_i1"	0.213742498587017	-0.828946535962555	0.364328378342239	0.564745617186828	-0.292451422742845	0.36719737212078	0.916952017736974
"TRINITY_DN21470_c1_g1_i1"	0.187102415892687	-0.857587248051645	0.355016056779713	0.59016877068918	-0.30883452116479	0.345716043233096	0.915145267581317
"TRINITY_DN21504_c1_g1_i1"	0.1142623483633	-0.764420226427992	0.338482024902427	0.769773337970049	-0.204181072124877	0.357071818677907	0.56841421290671
