"Transcript_ID"	"id127_TPM"	"id280_TPM"
"TRINITY_DN5656_c0_g1_i3"	208.264	1006.11
"TRINITY_DN5625_c0_g1_i1"	0.408226	0
"TRINITY_DN5625_c0_g1_i2"	0	0
"TRINITY_DN5625_c0_g1_i3"	0.520538	0
"TRINITY_DN5625_c0_g1_i4"	1.39496	0.849945
"TRINITY_DN5625_c0_g2_i1"	0	0
"TRINITY_DN5625_c0_g2_i2"	0.547669	0.688656
"TRINITY_DN5625_c0_g2_i3"	1.32742	0
"TRINITY_DN5625_c0_g2_i4"	0	0.130191
"TRINITY_DN5625_c2_g1_i1"	0	0
"TRINITY_DN5655_c0_g1_i1"	1.21499	0.291586
"TRINITY_DN5655_c0_g1_i2"	0.280634	0
"TRINITY_DN5680_c0_g1_i1"	10.194	2.35449
"TRINITY_DN5627_c0_g1_i1"	0	0.38966
"TRINITY_DN5636_c1_g1_i1"	0	1.77193
"TRINITY_DN5636_c0_g1_i1"	0	0.682235
"TRINITY_DN5636_c0_g1_i11"	0	2.86787
"TRINITY_DN5636_c0_g1_i2"	0	0
"TRINITY_DN5636_c0_g1_i3"	0	0.60656
"TRINITY_DN5636_c0_g1_i4"	0	0
"TRINITY_DN5636_c0_g1_i5"	0.0542253	0
"TRINITY_DN5636_c0_g1_i6"	0	0.371434
"TRINITY_DN5636_c0_g1_i9"	0	0.446588
"TRINITY_DN5653_c0_g3_i1"	0.898653	0.23941
"TRINITY_DN5653_c0_g1_i1"	7.67884	2.54702
"TRINITY_DN5653_c1_g1_i1"	1.64478	2.05719
"TRINITY_DN5653_c0_g4_i1"	7.67358	6.46196
"TRINITY_DN5653_c0_g2_i1"	0	1.07602
"TRINITY_DN5653_c0_g2_i2"	10.4929	2.14105
"TRINITY_DN5653_c0_g2_i3"	18.7938	6.90748
"TRINITY_DN5633_c0_g3_i1"	0	0.348035
"TRINITY_DN5633_c0_g3_i2"	0.2997	0.556354
"TRINITY_DN5633_c0_g3_i3"	0.494248	0.396795
"TRINITY_DN5633_c0_g1_i1"	30.2107	16.9002
"TRINITY_DN5633_c0_g1_i2"	15.8446	14.2982
"TRINITY_DN5633_c0_g2_i1"	0.593468	0
"TRINITY_DN5633_c0_g2_i2"	0.947435	0.177424
"TRINITY_DN5633_c0_g2_i3"	0	2.29603
"TRINITY_DN5693_c0_g1_i2"	0	0.278519
"TRINITY_DN5693_c0_g1_i3"	0	0
"TRINITY_DN5693_c0_g1_i4"	0	2.1664
"TRINITY_DN5603_c0_g1_i1"	2.90154	0.278424
"TRINITY_DN5610_c0_g1_i1"	0	0
"TRINITY_DN5610_c0_g1_i2"	0	0
"TRINITY_DN5610_c0_g1_i5"	0.10125	0.0190918
"TRINITY_DN5610_c0_g1_i6"	0.10125	0.0190918
"TRINITY_DN5610_c0_g1_i7"	0.298836	0
"TRINITY_DN5661_c0_g1_i1"	0	12.8775
"TRINITY_DN5661_c0_g1_i3"	0	1.4966
"TRINITY_DN5661_c0_g1_i4"	0.169534	25.7329
"TRINITY_DN5661_c0_g1_i5"	0	12.4218
"TRINITY_DN5661_c0_g1_i6"	0	7.10045
"TRINITY_DN5661_c0_g1_i7"	0	0
"TRINITY_DN5661_c0_g1_i8"	0	0
"TRINITY_DN5661_c0_g2_i1"	0	1.01159
"TRINITY_DN5661_c0_g4_i1"	0	0
"TRINITY_DN5661_c0_g4_i2"	0	3.27777
"TRINITY_DN5661_c0_g4_i3"	0	58.4495
"TRINITY_DN5661_c0_g4_i4"	0	1.12133
"TRINITY_DN5661_c0_g4_i5"	0	0
"TRINITY_DN5607_c0_g1_i1"	2.7564	1.52838
"TRINITY_DN5630_c0_g1_i1"	0	0
"TRINITY_DN5630_c0_g1_i2"	0.124873	0
"TRINITY_DN5630_c0_g1_i3"	0.47978	0.174536
"TRINITY_DN5630_c0_g1_i4"	0	0
"TRINITY_DN5664_c0_g1_i1"	7.45274	2.44316
"TRINITY_DN5668_c0_g1_i1"	0	0
"TRINITY_DN5668_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g2_i1"	0	0
"TRINITY_DN5613_c0_g1_i1"	0	0.654995
"TRINITY_DN5613_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g1_i3"	0	0
"TRINITY_DN5613_c0_g1_i4"	0	0.040731
"TRINITY_DN5613_c0_g1_i5"	0	0
"TRINITY_DN5644_c0_g1_i1"	8.02072	1.37186
"TRINITY_DN5614_c0_g1_i1"	33.4696	2.21018
"TRINITY_DN5651_c0_g1_i1"	1.36256	9.38491
"TRINITY_DN5651_c0_g1_i2"	0	0
"TRINITY_DN5651_c0_g1_i3"	0	0.263524
"TRINITY_DN5669_c0_g1_i1"	2.93551	0.513934
"TRINITY_DN5673_c0_g1_i1"	0	1.27974
"TRINITY_DN5673_c0_g1_i2"	0	1.93993
"TRINITY_DN5692_c0_g1_i1"	0.103919	0.0911289
"TRINITY_DN5692_c0_g1_i2"	12.1263	3.97815
"TRINITY_DN5612_c0_g1_i1"	3.66939	0.828332
"TRINITY_DN5620_c0_g1_i1"	0.998049	0
"TRINITY_DN5654_c0_g1_i1"	0	0.196792
"TRINITY_DN5654_c0_g1_i10"	0	0.440215
"TRINITY_DN5654_c0_g1_i12"	0	0.552307
"TRINITY_DN5654_c0_g1_i13"	0	0
"TRINITY_DN5654_c0_g1_i2"	2.11472	0.605446
"TRINITY_DN5654_c0_g1_i3"	0	0
"TRINITY_DN5654_c0_g1_i5"	1.67303	0.221647
"TRINITY_DN5654_c0_g1_i6"	0.554167	0
"TRINITY_DN5654_c0_g1_i7"	42.0119	7.52864
"TRINITY_DN5654_c0_g1_i8"	0	0.465116
"TRINITY_DN5654_c2_g1_i1"	0	0
"TRINITY_DN5654_c0_g2_i1"	3.60391	0.729398
"TRINITY_DN5665_c0_g1_i2"	2.24665	0.151125
"TRINITY_DN5665_c0_g1_i3"	0	0
"TRINITY_DN5665_c0_g1_i4"	0	0.269522
"TRINITY_DN5665_c0_g1_i5"	0	0
"TRINITY_DN5665_c0_g1_i6"	0	0
"TRINITY_DN5665_c0_g1_i7"	0	0
"TRINITY_DN5608_c0_g1_i1"	85.5319	18.3269
"TRINITY_DN5697_c1_g2_i1"	6.29015	1.6649
"TRINITY_DN5697_c1_g2_i2"	1.6144	0
"TRINITY_DN5697_c1_g1_i1"	0	1.80411
"TRINITY_DN5697_c1_g1_i2"	0	0
"TRINITY_DN5697_c1_g1_i3"	2.0495	0.595484
"TRINITY_DN5697_c1_g1_i4"	0	1.75172
"TRINITY_DN5697_c1_g3_i1"	0	0.209349
"TRINITY_DN5621_c0_g1_i1"	6.15629	1.26563
"TRINITY_DN5600_c0_g1_i1"	2.975	0.63301
"TRINITY_DN5670_c0_g1_i1"	0.202338	0.498344
"TRINITY_DN5670_c0_g1_i2"	0	0
"TRINITY_DN5643_c0_g1_i1"	2.39323	0.295797
"TRINITY_DN5643_c0_g1_i2"	0	0
"TRINITY_DN5672_c0_g1_i1"	0	0
"TRINITY_DN5672_c0_g1_i2"	0.651839	9.33394e-07
"TRINITY_DN5672_c0_g1_i3"	0	0.127619
"TRINITY_DN5672_c0_g1_i4"	0	0
"TRINITY_DN5672_c0_g1_i5"	1.41329	1.77109
"TRINITY_DN5672_c0_g1_i6"	1.06642	0
"TRINITY_DN5672_c0_g1_i7"	0	0
"TRINITY_DN5672_c1_g1_i1"	0.311836	0.175512
"TRINITY_DN5695_c0_g2_i1"	9.71522	5.3956
"TRINITY_DN5695_c0_g1_i1"	0	0
"TRINITY_DN5695_c0_g1_i2"	18.0084	1.73714
"TRINITY_DN5695_c3_g1_i1"	2.86493	2.3793
"TRINITY_DN5695_c1_g1_i1"	16.8475	12.7034
"TRINITY_DN5695_c0_g3_i1"	55.2942	14.7724
"TRINITY_DN5647_c0_g1_i1"	2.76559	0.488142
"TRINITY_DN5690_c0_g1_i11"	0	0
"TRINITY_DN5690_c0_g1_i12"	0.346163	0.131319
"TRINITY_DN5690_c0_g1_i13"	0.207654	1.29613
"TRINITY_DN5690_c0_g1_i14"	0	0
"TRINITY_DN5690_c0_g1_i2"	0	0
"TRINITY_DN5690_c0_g1_i3"	0.301265	0.256441
"TRINITY_DN5690_c0_g1_i4"	0	1.10016
"TRINITY_DN5690_c0_g1_i6"	0	0.159188
"TRINITY_DN5690_c0_g1_i8"	0	0
"TRINITY_DN5690_c0_g1_i9"	0.699413	0.116053
"TRINITY_DN5650_c0_g1_i1"	0.153706	0.0857908
"TRINITY_DN5650_c0_g1_i11"	3.63198	1.08287
"TRINITY_DN5650_c0_g1_i14"	7.7315	1.38547
"TRINITY_DN5650_c0_g1_i18"	0	0
"TRINITY_DN5650_c0_g1_i21"	0.482401	0.465429
"TRINITY_DN5650_c0_g1_i8"	7.7315	1.38547
"TRINITY_DN5650_c0_g2_i10"	0	0
"TRINITY_DN5650_c0_g2_i2"	0	0
"TRINITY_DN5650_c0_g2_i5"	0	0
"TRINITY_DN5650_c0_g2_i6"	0.418095	0
"TRINITY_DN5650_c0_g2_i8"	0.379483	0.392535
"TRINITY_DN5650_c0_g2_i9"	0.560749	0
"TRINITY_DN5685_c0_g1_i1"	10.977	2.08087
"TRINITY_DN5634_c0_g1_i1"	63.1077	15.1716
"TRINITY_DN5649_c0_g1_i10"	0	0
"TRINITY_DN5649_c0_g1_i12"	0	7.50959
"TRINITY_DN5649_c0_g1_i14"	0.649491	1.62992
"TRINITY_DN5649_c0_g1_i18"	0	0
"TRINITY_DN5649_c0_g1_i21"	72.8654	4.69768
"TRINITY_DN5649_c0_g1_i22"	0	0
"TRINITY_DN5649_c0_g1_i23"	19.4088	0.0176544
"TRINITY_DN5649_c0_g1_i25"	0	0
"TRINITY_DN5649_c0_g1_i26"	0	13.8059
"TRINITY_DN5649_c0_g1_i27"	0	0
"TRINITY_DN5649_c0_g1_i29"	0	0
"TRINITY_DN5649_c0_g1_i6"	3.69297	0
"TRINITY_DN5649_c0_g1_i7"	0.155085	0
"TRINITY_DN5604_c0_g1_i1"	0.445428	0
"TRINITY_DN5604_c0_g1_i2"	0	0.0222513
"TRINITY_DN5617_c0_g1_i1"	16.6212	54.7381
"TRINITY_DN5618_c0_g1_i1"	0	0
"TRINITY_DN5645_c0_g1_i1"	0.689163	0
"TRINITY_DN5645_c0_g1_i2"	0	0.140796
"TRINITY_DN5645_c0_g1_i3"	1.39462	0
"TRINITY_DN5679_c0_g1_i1"	0	0.258797
"TRINITY_DN5679_c0_g2_i1"	0.470212	0.405031
"TRINITY_DN5648_c0_g1_i1"	0.126724	0.0198872
"TRINITY_DN5677_c0_g1_i2"	1.27612	15.347
"TRINITY_DN5677_c0_g1_i3"	1449.07	309.193
"TRINITY_DN5677_c0_g1_i4"	1.27612	28.0291
"TRINITY_DN5677_c0_g1_i6"	0	1.40603
"TRINITY_DN5677_c0_g1_i7"	0	0.736942
"TRINITY_DN5677_c0_g2_i3"	0	0.865642
"TRINITY_DN5677_c0_g2_i4"	0	2.35737
"TRINITY_DN5677_c0_g2_i5"	0.605842	0
"TRINITY_DN5677_c0_g2_i6"	0	0
"TRINITY_DN5677_c0_g2_i7"	0	2.43305
"TRINITY_DN5677_c0_g2_i8"	0	2.6431
"TRINITY_DN5641_c0_g1_i1"	0.206983	0.0533785
"TRINITY_DN5632_c0_g2_i1"	0	1.3925
"TRINITY_DN5632_c0_g1_i1"	0.102267	0.436731
"TRINITY_DN5632_c0_g1_i10"	0	0.105062
"TRINITY_DN5632_c0_g1_i11"	0	0.237034
"TRINITY_DN5632_c0_g1_i12"	0	0.343502
"TRINITY_DN5632_c0_g1_i13"	0	0.210686
"TRINITY_DN5632_c0_g1_i14"	2.10594	1.40142
"TRINITY_DN5632_c0_g1_i15"	0	0
"TRINITY_DN5632_c0_g1_i2"	0	0
"TRINITY_DN5632_c0_g1_i3"	0.065538	0.106468
"TRINITY_DN5632_c0_g1_i5"	0.146262	0
"TRINITY_DN5632_c0_g1_i6"	0	0
"TRINITY_DN5632_c0_g1_i8"	0.230268	0
"TRINITY_DN5632_c0_g1_i9"	0	0.0906619
"TRINITY_DN5696_c0_g1_i1"	0.822453	0.319742
"TRINITY_DN5696_c0_g1_i2"	12.3368	0.639484
"TRINITY_DN5640_c0_g1_i1"	0.0805197	0.903085
"TRINITY_DN5640_c0_g1_i2"	0	0.245908
"TRINITY_DN5640_c0_g1_i4"	0	0.177776
"TRINITY_DN5640_c0_g1_i5"	0	1.75279
"TRINITY_DN5640_c0_g1_i7"	0.718261	0.362397
"TRINITY_DN5624_c0_g1_i1"	10.6268	2.46337
"TRINITY_DN5660_c2_g2_i1"	5.60926	1.87978
"TRINITY_DN5660_c1_g2_i1"	2.6721	4.28349
"TRINITY_DN5660_c1_g1_i1"	0	4.38309
"TRINITY_DN5660_c1_g1_i2"	16.8024	7.34065
"TRINITY_DN5660_c2_g1_i1"	14.7749	7.80781
"TRINITY_DN5660_c2_g1_i2"	6.89464	7.34163
"TRINITY_DN5657_c0_g1_i1"	0.55209	0.262161
"TRINITY_DN5671_c0_g1_i1"	0	14.3121
"TRINITY_DN5671_c0_g1_i11"	0	4.58762
"TRINITY_DN5671_c0_g1_i12"	2.71636	37.918
"TRINITY_DN5671_c0_g1_i14"	0	7.68346
"TRINITY_DN5671_c0_g1_i16"	0	0.586324
"TRINITY_DN5671_c0_g1_i17"	0.189754	4.37686
"TRINITY_DN5671_c0_g1_i18"	0	4.15929
"TRINITY_DN5671_c0_g1_i19"	0	3.65956
"TRINITY_DN5671_c0_g1_i2"	0	3.14745
