"TRINITY_DN38071_c0_g1_i1"	0	0	0.0867176	0	0.194989	0	0	0.190884	0	0	0.210681	0	0	0	0	0	0	0	0	0	0	0	0	0.128129
"TRINITY_DN31565_c0_g1_i1"	0.683484	1.30168	0.239373	0.61736	0.860357	0.141581	0.550239	0.394215	0.986304	0.316762	1.25648	0.585806	0.0764442	1.01331	0.729992	0.197674	0.165206	0.153117	0.65756	0.776738	0.775143	0	0.625526	0.29227
"TRINITY_DN19115_c0_g1_i2"	0.40676	1.63495	0.393134	0.486887	0.566423	0.166705	0.198678	0.409107	0.823769	0.659986	0.980045	0.444462	0.275326	0.571718	0.692458	0.284211	0.193249	0.266237	0.915086	0.442073	0.334044	0.214583	0.752034	0.296168
"TRINITY_DN2379_c0_g1_i2"	0	0.493821	1.75139	0	0	0.325611	0.237023	0	0.51872	0	0	0	0.414667	0	0.240459	0	0	0	0.348449	0.646791	0	0	0.543466	0
"TRINITY_DN34126_c0_g1_i1"	1.36861	0	0	0.449669	0	0.827278	0	0	0	0	0	0	0.422703	0.396509	0.980546	1.05783	0.73155	0	0	0	0	0.512019	1.10896	0.160778
"TRINITY_DN30175_c0_g1_i1"	0	0	0	0	0	0.215089	0.092988	0	0	0	0.106213	0	0	0	0	0	0	0	0	0	0	0	0.21146	0.147906
"TRINITY_DN9394_c0_g1_i1"	0	0	0.0530433	0	0	0.257531	4.64828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177458	0
"TRINITY_DN9394_c0_g1_i2"	64.9966	103.029	0	17.3073	0.273971	30.6653	77.9772	12.6523	56.991	1.76805	59.1947	0.306843	163.908	93.9306	59.3175	131	54.6856	1.7065	27.2274	12.8597	34.48	85.7998	115.838	21.8053
"TRINITY_DN859_c0_g1_i2"	1.92367	1.19377	0	0.433299	0.132106	0.43446	0	0.755029	0	0	0	0	5.93197	3.1185	4.98149	4.37111	0.743333	0.0377247	0	0	0	4.10668	3.00685	1.80486
"TRINITY_DN859_c0_g1_i3"	6.80531	9.25147	0	1.03643	0	5.52245	1.21954	0	5.16595	0	0	0	30.4636	13.2449	13.7744	19.416	10.4304	0	0.48307	0	0.278536	22.0904	20.4332	1.92587
"TRINITY_DN39885_c0_g1_i1"	0.153047	0	0.078954	0	0	0.117786	0	0.171657	0.175633	0	0	0	0	0.263851	0	0	0	0	0	0	0	0.167124	0	0
"TRINITY_DN26297_c0_g1_i1"	0.435952	0	0	0.215283	0.482673	0.159364	0.231042	0	0	0	0	0	0	0	0.234623	0	0	0.155826	0	0	0.233725	0	0	0
"TRINITY_DN31075_c0_g1_i1"	0.181044	0.198321	0.18235	0.35863	0.20511	0	0	0.202336	0.208668	0.074095	0.447289	0	0.166018	0.313356	0	0.419551	0	0.407319	0.280011	0	0.585252	0	0	0.268198
"TRINITY_DN30361_c0_g1_i1"	0	0	0	0	0	0	0	0	0.135767	0	0	0	1.74955e-05	0	0.303955	0	0.0797096	0.156144	0	0	0	0	0.0229841	0
"TRINITY_DN30361_c0_g1_i2"	0.178717	0	0	0.0548637	0	0.205613	0	0	0	0	0	0	0	0	0	0	0.0832744	0	0	0.0645712	0	1.00754	0	5.08193e-05
