"072"	"294"
"TRINITY_DN1_c263_g1_i1"	30.0363	116.612
"TRINITY_DN1_c200_g2_i1"	20.2257	693.023
"TRINITY_DN3895_c0_g1_i1"	19.6794	284.742
"TRINITY_DN3872_c0_g1_i1"	29.5471	296.949
"TRINITY_DN3820_c1_g1_i1"	43.5494	333.173
"TRINITY_DN18931_c1_g1_i1"	62.0931	437.395
"TRINITY_DN9651_c0_g1_i2"	30.9106	173.581
"TRINITY_DN10870_c0_g1_i3"	53.9727	217.357
"TRINITY_DN8705_c0_g1_i1"	34.9067	228.434
"TRINITY_DN2004_c3_g3_i1"	32.9867	290.924
"TRINITY_DN2088_c1_g1_i1"	2.67983	5299.73
"TRINITY_DN474_c0_g1_i17"	33.307	373.344
"TRINITY_DN484_c0_g1_i4"	29.7561	224.847
"TRINITY_DN7858_c0_g1_i1"	46.9378	183.415
"TRINITY_DN7868_c0_g1_i12"	37.0288	576.293
"TRINITY_DN1153_c0_g1_i4"	37.1261	158.416
"TRINITY_DN25398_c0_g1_i1"	76.9698	373.277
"TRINITY_DN892_c0_g1_i1"	22.8632	175.36
"TRINITY_DN5112_c0_g1_i2"	27.1378	131.288
"TRINITY_DN5129_c0_g1_i1"	28.6826	139.632
"TRINITY_DN4245_c0_g1_i5"	42.5473	164.344
"TRINITY_DN13821_c2_g1_i1"	16.4621	172.923
"TRINITY_DN13859_c0_g1_i1"	51.4837	313.201
"TRINITY_DN12092_c4_g1_i1"	24.6582	133.157
"TRINITY_DN12092_c5_g1_i1"	35.4845	216.057
"TRINITY_DN11259_c0_g1_i1"	52.9797	200.396
"TRINITY_DN18527_c0_g1_i1"	44.1077	212.776
"TRINITY_DN35893_c0_g1_i1"	16.8125	276.336
"TRINITY_DN17758_c0_g1_i1"	29.3072	133.634
"TRINITY_DN3653_c5_g1_i1"	100.656	1326.88
"TRINITY_DN2758_c0_g1_i1"	36.1161	175.966
"TRINITY_DN2796_c0_g1_i1"	49.0478	204.968
