"072"	"294"
"TRINITY_DN9680_c0_g1_i11"	36.7269	45.4474
"TRINITY_DN9637_c1_g1_i4"	64.176	0
"TRINITY_DN9650_c0_g1_i2"	41.0686	1.4955
"TRINITY_DN9697_c0_g2_i1"	15.2613	24.0016
"TRINITY_DN9657_c2_g1_i1"	77.8504	184.763
"TRINITY_DN9610_c0_g1_i1"	17.6744	31.2789
"TRINITY_DN10819_c0_g1_i1"	45.5783	8.88169
"TRINITY_DN10839_c0_g1_i5"	13.5469	36.0727
"TRINITY_DN10890_c1_g2_i3"	244.457	90.597
"TRINITY_DN10816_c0_g1_i5"	69.8606	33.5787
"TRINITY_DN10870_c0_g1_i4"	41.7879	85.6303
"TRINITY_DN10802_c0_g1_i4"	177.734	72.6699
"TRINITY_DN8709_c0_g1_i1"	32.8505	6.96178
"TRINITY_DN8792_c0_g1_i9"	45.0582	4.70345
"TRINITY_DN8708_c1_g1_i1"	9.88299	22.7991
"TRINITY_DN2041_c0_g1_i8"	31.6683	34.2472
"TRINITY_DN2018_c0_g1_i13"	66.6036	17.0009
"TRINITY_DN2039_c0_g1_i1"	22.5455	64.3762
"TRINITY_DN2063_c0_g1_i1"	635.759	18.1826
"TRINITY_DN2020_c0_g1_i1"	50.2591	0
"TRINITY_DN2004_c5_g1_i1"	73.6767	48.1625
"TRINITY_DN2004_c0_g2_i2"	62.4972	158.046
"TRINITY_DN2091_c3_g1_i1"	198.129	39.9555
"TRINITY_DN2053_c0_g1_i1"	18.6034	61.9224
"TRINITY_DN2023_c0_g1_i1"	66.7532	142.308
"TRINITY_DN26210_c0_g1_i1"	9.22629	17.6573
"TRINITY_DN17070_c0_g1_i4"	16.1403	25.6658
"TRINITY_DN17070_c2_g1_i1"	12.6415	18.1414
"TRINITY_DN17096_c0_g1_i1"	64.0259	68.3684
"TRINITY_DN476_c0_g1_i22"	109.679	38.8641
"TRINITY_DN468_c1_g1_i1"	41.7028	14.2511
"TRINITY_DN436_c4_g4_i1"	53.6859	15.2434
"TRINITY_DN436_c0_g1_i1"	17.6623	39.5664
"TRINITY_DN461_c1_g1_i4"	167.126	27.7823
"TRINITY_DN461_c0_g1_i30"	37.6058	8.43208
"TRINITY_DN461_c0_g1_i33"	57.0339	4.80438
"TRINITY_DN461_c0_g1_i44"	63.2527	8.15397
"TRINITY_DN461_c0_g1_i7"	522.838	53.4606
"TRINITY_DN461_c22_g1_i1"	43.8027	6.91845
"TRINITY_DN496_c0_g1_i1"	19.8369	32.8147
"TRINITY_DN470_c0_g1_i1"	81.0458	5.42898
"TRINITY_DN460_c0_g1_i1"	104.576	23.6782
"TRINITY_DN425_c0_g1_i5"	14.3911	51.8261
"TRINITY_DN451_c0_g1_i1"	186.944	110.005
"TRINITY_DN441_c2_g1_i2"	60.421	15.0512
"TRINITY_DN456_c0_g3_i1"	73.4698	7.12911
"TRINITY_DN404_c0_g1_i14"	41.6575	8.88561
"TRINITY_DN404_c1_g1_i1"	32.2948	22.6541
"TRINITY_DN495_c16_g2_i1"	11.0601	23.149
"TRINITY_DN495_c0_g1_i8"	88.053	301.373
"TRINITY_DN495_c1_g1_i15"	51.3436	9.32337
"TRINITY_DN465_c3_g1_i1"	51.3025	11.1227
"TRINITY_DN465_c3_g1_i2"	325.064	51.036
"TRINITY_DN486_c0_g1_i17"	33.9781	21.5816
"TRINITY_DN478_c0_g1_i3"	12.9385	16.6325
"TRINITY_DN7810_c0_g1_i1"	11.2895	28.8342
"TRINITY_DN7814_c0_g1_i1"	26.9873	26.4937
"TRINITY_DN7833_c0_g1_i1"	48.5637	26.0265
"TRINITY_DN7832_c0_g1_i1"	36.3706	41.6681
"TRINITY_DN7877_c0_g1_i1"	77.152	92.9819
"TRINITY_DN7881_c0_g2_i1"	56.5978	28.8974
