"kMEblack"	"kMEcyan"	"kMEdarkgreen"	"kMEdarkgrey"	"kMEdarkorange"	"kMEdarkred"	"kMEgrey60"	"kMElightcyan"	"kMEroyalblue"	"kMEsaddlebrown"	"kMEskyblue"
"TRINITY_DN88421_c0_g1_i1"	0.36199502884967	-0.404712454702272	-0.115095247179947	-0.301856528600503	-0.480222651914545	-0.51803481070286	-0.45425573332422	0.862959442286993	-0.0473900426519906	-0.133506942920857	-0.322606626905804
"TRINITY_DN88418_c0_g1_i5"	0.362782804186495	-0.351261448310356	-0.132077147948152	-0.291369934198873	-0.351108995243697	-0.527814383890516	-0.361834833138938	0.815178108936374	-0.213570723524343	-0.12517528969625	-0.354836556834706
"TRINITY_DN88415_c0_g1_i2"	0.211954501875645	-0.58387918397091	0.167357046741869	-0.326537178987493	-0.248522180286585	-0.611439941950375	-0.184439995163033	0.861916272372149	-0.333533182576485	-0.380746821483358	-0.66629754140166
"TRINITY_DN88474_c0_g1_i2"	-0.297536875979613	0.209692550020586	-0.395398268835225	0.619813060961852	0.630506531908923	0.898042298777073	0.200932855267921	-0.56358890663522	0.295514535463798	-0.205850157589385	0.0863846960903689
"TRINITY_DN88425_c0_g1_i2"	0.222277797718461	-0.464709774352723	0.150310894136739	-0.288072095498977	-0.517266494331743	-0.88607477495095	-0.49008958855755	0.923446093242258	-0.366552112579504	-0.0218185668785233	-0.423771937461364
"TRINITY_DN88409_c0_g1_i3"	-0.12697124322749	0.565872603094776	-0.182074155456606	0.441758789890237	-0.011240174370093	0.188489641259388	-0.341522289466241	-0.291183650337966	0.125471904640326	0.563915799179252	0.744625181395412
"TRINITY_DN21442_c0_g2_i1"	0.397149764268529	-0.566812862115295	-0.03023419616214	-0.438121084428833	-0.422600852258137	-0.572627709920271	-0.284273334069421	0.842046403153628	-0.115493210077723	-0.301092691344051	-0.500477146275717
"TRINITY_DN21452_c2_g1_i8"	-0.541591201999442	0.303993604261523	0.182628251342299	-0.141824951706148	0.231364443724598	0.537505761557271	0.522107840715964	-0.459442705077157	0.258480163491899	0.389764316048458	0.554304128259213
"TRINITY_DN21434_c5_g1_i3"	-0.450048715357906	0.177964134980393	-0.0655951546437421	0.562231805232478	0.571019310884035	0.916179189279886	0.397480868157687	-0.735393392299743	0.4457648721751	-0.205212603121144	0.307307484932807
"TRINITY_DN21454_c1_g1_i2"	-0.267581827550792	0.236445983752155	-0.0195782547520384	0.183479275138547	0.819315164847569	0.707681989324156	0.662754624649502	-0.50883436427075	-0.164567638589862	-0.136092402444372	-0.19973585048027
"TRINITY_DN21443_c0_g1_i2"	0.231072045273295	-0.480832714259114	0.101689349999984	-0.403563401144973	-0.667913153680409	-0.847777275538586	-0.50712959111242	0.968133692755859	-0.162690597344328	-0.0435417368601518	-0.359384692652289
"TRINITY_DN21491_c1_g1_i1"	0.156372393893208	-0.226433320440297	0.287751523525913	-0.415161948393529	-0.501352370121622	-0.856922166520541	-0.313628514729622	0.65764550828202	-0.323825528835595	-0.0612403574237373	-0.375474815472062
"TRINITY_DN21406_c11_g1_i1"	-0.550404136967659	0.20886527729612	-0.117303740863883	0.442900822152544	0.405172747817558	0.886276679300893	0.370125940894456	-0.785941139794592	0.543449359544357	0.0267007221981019	0.509467033165317
"TRINITY_DN21425_c2_g3_i2"	0.107505259160082	-0.376645167866769	0.326230776851222	-0.296926603805336	-0.548119130578078	-0.579239776625371	-0.392164846670475	0.803538770193191	-0.0146689461241878	0.0543869675922011	-0.186335390026646
"TRINITY_DN21430_c0_g1_i1"	0.368640214123234	-0.450828847936245	-0.126087605884705	-0.393636086658923	-0.447706331141976	-0.542196699251934	-0.329034103151863	0.820009094757622	-0.06946202662348	-0.272227362466659	-0.445849615978523
"TRINITY_DN21410_c0_g1_i21"	0.0888923320705558	-0.232368719561913	0.506137003268893	-0.270031768130474	-0.390797094935019	-0.602639314081888	-0.249850475751556	0.625303244359369	-0.213908564715928	0.184421215709259	-0.141210003932551
"TRINITY_DN21460_c0_g1_i36"	0.330346084604109	-0.35875362825407	-0.00256119503916791	-0.305162850853039	-0.369912191167481	-0.547214781209989	-0.366383834971982	0.881013575634989	-0.226409486867522	0.0138018022724059	-0.306541852321585
"TRINITY_DN21460_c0_g1_i38"	0.359746178634539	-0.401604177343055	0.0574550825501642	-0.364814061850925	-0.469389995880542	-0.715590165223579	-0.41985515188736	0.948972480124988	-0.274165974196724	-0.0677821667563489	-0.38157601383384
"TRINITY_DN5656_c11_g1_i8"	-0.398408376527838	0.41868669150341	-0.267471034791377	0.750515005974539	0.443085998954624	0.780575390595689	0.0610038031402876	-0.745800799934666	0.370103260477693	0.158228100386935	0.57418793575172
"TRINITY_DN5644_c12_g1_i16"	-0.439794464514732	0.438129151788337	-0.0933028422603042	0.320332584946658	0.538054570436177	0.885733142401003	0.495358046137152	-0.882106484868136	0.335109034568459	0.177988490592491	0.464779076479049
"TRINITY_DN5644_c14_g1_i3"	-0.160611613961965	0.0177285501487149	0.0414705976205441	0.223725364226288	0.561717361633451	0.746328553572133	0.606224661958965	-0.650748994363564	0.317025987376065	-0.434410692624966	0.000983429389362883
"TRINITY_DN5644_c0_g1_i9"	-0.410078496560637	0.375904016088658	-0.140242278559126	0.364942935945163	0.439077883181049	0.887564259893442	0.39641994212052	-0.869875343427596	0.457026831101074	0.0378065370425546	0.531976827184704
"TRINITY_DN5644_c10_g1_i4"	0.226054418823629	-0.525457930661311	0.00750236598307158	-0.243627941995333	-0.551502869224652	-0.79579819098562	-0.544898534854604	0.916607316977075	-0.206931961135278	-0.077476631798767	-0.308453444567304
"TRINITY_DN5614_c0_g1_i8"	-0.21673773726124	0.628747050339269	0.0675014516832293	0.123779649572991	0.041078719480625	0.288589616066893	0.071050537858122	-0.498041538648424	0.213365290775576	0.380877202960405	0.726759266155889
"TRINITY_DN5651_c0_g1_i3"	-0.448813166710031	0.489068747896971	-0.272180488561018	0.667575400030502	0.511733766019562	0.861568228087525	0.137627378099453	-0.756868899197251	0.318286349349695	0.0876690733274919	0.492297821497236
"TRINITY_DN5612_c17_g1_i3"	-0.595255500763598	0.162525681469609	0.227197774500732	0.215905205236286	0.00243411214432951	0.386023305543924	0.18662601405071	-0.533348354995687	0.511618344149377	-0.0424425416044039	0.43266274832193
"TRINITY_DN5612_c10_g4_i2"	-0.49207093973106	0.40913727883107	-0.429887205727928	0.597631424923845	0.588107845908063	0.96269795604305	0.249330462750126	-0.753146178447323	0.3671554958496	0.0364088567355321	0.418173167195087
"TRINITY_DN5612_c12_g1_i1"	-0.427691170294768	0.296548262614022	-0.0776377160909299	0.120242421164735	0.593585795588949	0.812813713485679	0.631429919091651	-0.65415053396741	0.174519349231311	0.196376034306888	0.292356889752569
"TRINITY_DN5608_c1_g1_i1"	0.317570729596012	-0.368571385091914	0.161961805971666	-0.338885438969816	-0.428476989959086	-0.644218960175581	-0.382229497598539	0.926729293886735	-0.254709997622871	0.0437340453025598	-0.306849269854565
"TRINITY_DN5621_c1_g1_i1"	0.202479383782542	-0.450865760046202	0.119250803510546	-0.354561628749176	-0.465473054554292	-0.529838818704618	-0.344039668531119	0.885977754137719	-0.080768552165761	0.0175272856694709	-0.282134791368602
"TRINITY_DN5600_c0_g1_i13"	0.348822820331413	-0.64572669613819	0.0659379133823012	-0.462796506093312	-0.447985140699183	-0.685697967102969	-0.280353149917318	0.902755383452392	-0.212747612279387	-0.258911102197013	-0.587048236016311
"TRINITY_DN5600_c0_g1_i7"	0.367887606404378	-0.201231101616547	-0.0594703727002224	-0.217538804631931	-0.32072991604159	-0.505546730028912	-0.449901717942351	0.799214137435759	-0.283902015345657	0.10540355779246	-0.221783081390835
"TRINITY_DN5650_c0_g2_i2"	-0.236040772250304	-0.0943411557861315	0.571767564415153	-0.2405589086009	0.592583449917935	0.34932392488237	0.965770730984767	-0.466232917485098	-0.258756831564456	-0.237036581203224	-0.326950685751573
"TRINITY_DN5632_c0_g1_i10"	-0.326933137109119	0.32998235600228	-0.243827290548193	0.308310520744989	0.526307247326465	0.937144859544998	0.438930825899681	-0.764629919882227	0.391377824037231	0.0634901461322959	0.382463324682257
"TRINITY_DN5632_c0_g3_i1"	-0.338846879643726	0.634948739483844	0.00936051199447857	0.167514004099188	0.656442781353776	0.756817710025059	0.624914024425627	-0.810624100013941	-0.0116750889735279	0.292560156952555	0.405454798783867
"TRINITY_DN5632_c0_g2_i2"	-0.247845425404201	0.00849057657434156	-0.0289017197478297	0.172544049727168	0.503591518412279	0.704527097708169	0.521993163837361	-0.602166623868781	0.31793641424298	-0.466723101635535	-0.058049832527482
"TRINITY_DN5601_c0_g1_i28"	-0.216660986088704	0.325675073030918	-0.245730194229808	0.925225266345568	0.604316778916781	0.545741793066726	-0.114299062679533	-0.404241051393339	-0.0324693595701225	-0.260452502125085	-0.0767060314141157
"TRINITY_DN5662_c12_g1_i7"	0.0624744390839122	-0.04434186009341	-0.323915857511184	0.409152877388896	0.478204841330036	0.492873077914436	0.0662867998224606	-0.195260358748717	0.0260033993256657	-0.364058169308203	-0.325093594199446
"TRINITY_DN5662_c0_g2_i2"	-0.485059522727487	0.0514542946214104	-0.0826388832866731	0.722061291280695	0.571021642253023	0.809124634485386	0.246271121499083	-0.612351108293128	0.360537003601558	-0.438812083772004	0.0356670948365838
"TRINITY_DN5662_c1_g1_i17"	-0.320557108248579	0.226251976089197	0.303557502068895	-0.308765519898935	0.250859296664378	0.518093612021084	0.775140442990195	-0.685423619913213	0.293062644640365	0.00552560506660128	0.29730502308265
"TRINITY_DN5662_c21_g2_i1"	0.172970867753613	-0.443127702389084	0.220164073751802	-0.397607089900218	-0.654688788979828	-0.872342399110126	-0.469608775467518	0.907930215509599	-0.197357702963098	0.0266024038763107	-0.322790361034171
"TRINITY_DN5622_c0_g1_i7"	-0.374507254044629	0.387202009426119	-0.204220632329009	0.517745356410985	0.728361458038872	0.961820700211223	0.443141981356313	-0.752565088174429	0.195588231762503	-0.0685629796728939	0.182371120827213
"TRINITY_DN5637_c1_g1_i4"	-0.209379972751564	-0.0257047651982477	-0.259164638747236	0.594513129942257	0.555623948177953	0.739674687712397	0.156431241886536	-0.440925479789184	0.270546217164938	-0.527425086948316	-0.192693885884873
"TRINITY_DN5616_c8_g1_i1"	-0.307181959843319	0.315171128234216	-0.408809497276354	0.589966847062253	0.717076656101188	0.881113618411754	0.25280915003024	-0.572132584528879	0.132084017596024	-0.0878185574228528	0.0564800881915797
"TRINITY_DN5616_c0_g1_i3"	-0.754515130047465	0.335966134070471	-0.0109990980427936	0.227824376685714	0.465064279870269	0.766779802447478	0.51074035041831	-0.605960475770488	0.263699112087604	0.178388734007964	0.333632132579141
"TRINITY_DN5616_c0_g1_i12"	-0.219082495773127	0.183265591065064	-0.296438127614519	0.442682839849222	0.577193443612438	0.790119459982914	0.251768757014459	-0.513517644851559	0.238423797936372	-0.3753207272528	-0.0784714046751495
"TRINITY_DN5616_c11_g1_i1"	-0.34808332825625	0.333807953449812	-0.293783507963523	0.633029135576737	0.778097256993594	0.779138350118163	0.248744576840786	-0.487166872188217	-0.0403816604159453	-0.0320915791598369	-0.00915664010104851
"TRINITY_DN5616_c0_g2_i8"	-0.507252641397806	0.40370605416575	-0.0622492902707484	0.553470131340518	0.633871862451477	0.909592468027648	0.434315920760286	-0.895856131370704	0.294839787686844	-0.0526703179816777	0.390658777859402
"TRINITY_DN5616_c0_g3_i1"	-0.0947686065053771	0.394590044310552	-0.0258858676501703	0.480711247097419	0.662441773217565	0.580104694837526	0.321355630267415	-0.568343445405826	-0.0609204574228871	-0.250130945694532	0.0181667438193599
"TRINITY_DN5616_c0_g3_i5"	-0.659482885185904	0.383106439650378	-0.196903528371541	0.598155126892555	0.670272840775681	0.903449247228178	0.358083785780274	-0.675222363813917	0.207309223106111	0.114915297185317	0.326858135900092
"TRINITY_DN5639_c1_g1_i1"	0.178730898285123	-0.508576133696332	-0.0511494081828046	-0.350307436723743	-0.816415067135396	-0.697230669818983	-0.593546079084545	0.797816246205492	0.215932480966167	-0.0146987698321021	-0.106914680850914
"TRINITY_DN5605_c6_g1_i1"	-0.305181069733046	0.0494429935186725	-0.396656347264751	0.189010317050021	-0.371313372047784	0.391872744931293	-0.294524857409366	-0.349041033121968	0.884867611208435	0.170664693170942	0.814318591974483
"TRINITY_DN5628_c1_g1_i17"	-0.495044183934046	0.500256894977686	-0.0711362360519078	0.276728464543453	0.485351085759269	0.827822614346011	0.495676635943129	-0.821087841508294	0.336148074557271	0.200698915810985	0.569561621448973
"TRINITY_DN5631_c0_g1_i2"	-0.222788287536669	0.0405004930191042	0.0982328513058148	-0.0161554916161308	0.599562411660679	0.64778822569702	0.714267271111652	-0.45362861085142	0.101508825047539	-0.439616892424529	-0.282372274668281
"TRINITY_DN37816_c0_g1_i1"	0.361023545256747	-0.358382305390683	-0.120898952015521	-0.299046069933775	-0.363665990888405	-0.547251296017416	-0.369165548859688	0.829986704214096	-0.219881546264238	-0.12145795600688	-0.360094994641106
"TRINITY_DN37884_c0_g1_i2"	0.364812524573501	-0.38532392748362	-0.0512860623900606	-0.333736065904907	-0.415564540220357	-0.624255856421942	-0.399643590971632	0.911609213329938	-0.249941317861636	-0.0249808133454602	-0.347606507803421
"TRINITY_DN37868_c0_g1_i2"	0.327601975833617	-0.367928061754793	0.127686290529449	-0.334969570390259	-0.420055960321378	-0.630131717850207	-0.381774109307452	0.923264806652539	-0.251612470716216	0.0478133478750593	-0.304161176849121
"TRINITY_DN37855_c0_g2_i3"	-0.0493137574490551	0.435976656752378	-0.234238659203883	0.473507602600872	0.440732081213312	0.729953125186665	0.232783900701677	-0.707718736895988	0.315149775524504	0.0880893760102371	0.47413906782326
"TRINITY_DN37821_c0_g1_i10"	0.513626819107096	-0.450637670976714	-0.121989792163726	-0.352271726128643	-0.544909329618576	-0.62928024805477	-0.490354430150348	0.886225283279876	-0.0935599500168556	-0.121880967238605	-0.367056961229853
"TRINITY_DN37814_c0_g1_i3"	0.987812740808621	-0.230063306223372	-0.0915009134720522	-0.293109054279598	-0.311612199044298	-0.491729725628722	-0.296796468564197	0.360071213394464	-0.226437198554447	0.00157756332242147	-0.261956471718594
"TRINITY_DN37883_c1_g2_i7"	0.371503339850299	-0.320154730410529	0.173510557290665	-0.356051950478268	-0.334037793080296	-0.721318732992898	-0.271411872947152	0.882734183610127	-0.426324086113313	-0.0144628327295379	-0.472584912817969
"TRINITY_DN37810_c0_g1_i7"	-0.290802738612498	0.158674807174132	-0.0355020587380083	0.233642262929766	0.656702932380011	0.871014057540903	0.640533521008058	-0.682690350928132	0.232215005386197	-0.252671563384609	-0.0197447666915195
"TRINITY_DN37828_c1_g1_i1"	0.120977390150194	-0.338773522116271	0.230148880677094	-0.356364956558891	-0.545815182153917	-0.849946432017179	-0.366880020457336	0.711030747641737	-0.290424501472705	0.139810007352241	-0.261015225698565
"TRINITY_DN79355_c0_g1_i7"	0.350495737654645	-0.473717759267794	-0.0361831438060791	-0.407336380686569	-0.462123271143754	-0.604740199002224	-0.373457410384131	0.907075823232086	-0.161603898510379	-0.094508713489185	-0.402930405895558
