"kMEblack"	"kMEblue"	"kMEpink"	"kMEred"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN21478_c0_g1_i1"	-0.111608694498007	0.839059360806606	0.382516916102484	-0.245870562097574	-0.377206282839209	0.340258457206319
"TRINITY_DN21505_c1_g1_i1"	0.293709816823446	-0.767723727690152	-0.38073416494528	0.324756705868954	0.758777779640183	-0.598731698235861
"TRINITY_DN21499_c0_g1_i1"	0.0915659717227704	-0.328159937729059	-0.0215626257454083	0.446320959430249	0.659107014831793	-0.463374847172549
"TRINITY_DN21444_c0_g2_i1"	-0.323240823508321	0.896828546419203	0.223482696219167	-0.327218851125845	-0.418861044082276	0.43299283110521
"TRINITY_DN21517_c0_g2_i1"	0.41407526812799	-0.750738005113592	-0.32124020900865	0.424913897794955	0.955267265171352	-0.803218316086722
"TRINITY_DN21517_c0_g1_i1"	0.398744952094225	-0.748432217927174	-0.307551763485894	0.368140789136392	0.956026375072824	-0.788717547648532
"TRINITY_DN21490_c0_g1_i1"	-0.44975788441778	0.709068257412997	-0.0756387693867909	-0.495792580370539	-0.699152702979075	0.879625381943695
"TRINITY_DN21494_c1_g1_i2"	0.243874243890924	-0.367748984690139	-0.28284725385156	0.1232190043079	0.311920448079832	-0.303688815614313
"TRINITY_DN21470_c0_g1_i1"	0.412639479227142	-0.748060071911844	-0.389375759090782	0.51652714075696	0.882050874249012	-0.758488945655513
"TRINITY_DN21470_c1_g1_i1"	0.385101508249795	-0.741497881651663	-0.374603201694099	0.521490047870806	0.90049020019955	-0.779519014899899
"TRINITY_DN21504_c1_g1_i1"	0.370073306581458	-0.506602664710661	-0.153883952588173	0.626907554529724	0.612595604633531	-0.734447260381952
"TRINITY_DN5656_c0_g1_i3"	-0.191248069776403	0.621660459183532	0.537746457734817	-0.101386813282185	-0.283274996934921	-0.0898611732510816
"TRINITY_DN5680_c0_g1_i1"	0.361015604737395	-0.677034373782921	-0.301953612857849	0.230368090544122	0.97741264634609	-0.765769389176383
"TRINITY_DN5653_c0_g1_i1"	0.111495637478631	-0.737423970460799	-0.142799903621011	0.14823595135271	0.53437911872878	-0.443467472556909
"TRINITY_DN5653_c0_g4_i1"	0.175072786935195	-0.168216546695731	-0.229275522438037	-0.266765523470128	-0.132742423475776	0.41088617624648
"TRINITY_DN5653_c0_g2_i1"	-0.0746329651692355	-0.135352457237427	-0.368587230883897	0.70745758597359	0.16389080095758	-0.0901957435249871
"TRINITY_DN5653_c0_g2_i2"	0.100838897957987	-0.0738853773507867	-0.0096318102749903	0.021959724432179	0.10508144306906	0.109597170949575
"TRINITY_DN5653_c0_g2_i3"	0.185751556562649	-0.105762328337984	0.414869326342767	-0.360311531512388	0.30222022805898	-0.276772651917482
"TRINITY_DN5633_c0_g1_i1"	0.286896269262266	-0.506564990366216	-0.160886656798837	0.0357372660024064	0.763238899890248	-0.545348636532278
"TRINITY_DN5633_c0_g1_i2"	0.451141397643645	-0.46520141419504	0.0642217267973484	0.490635601029048	0.418065969834259	-0.580001392090372
"TRINITY_DN5661_c0_g1_i1"	-0.353480762695296	0.859029749869807	0.160869152214498	-0.319914363740901	-0.552584439318108	0.555962701068518
"TRINITY_DN5661_c0_g1_i4"	-0.418961976454991	0.929163311921748	0.182113726532163	-0.383578928071541	-0.773586596712828	0.741893631525858
"TRINITY_DN5661_c0_g1_i5"	-0.411798594292895	0.907630572391884	0.125522635205652	-0.377711412649172	-0.603696418372712	0.650959249245567
"TRINITY_DN5661_c0_g4_i3"	-0.505896367027319	0.881077336448654	0.0958057545046908	-0.462408952844185	-0.762332003357766	0.785722513565425
"TRINITY_DN5614_c0_g1_i1"	0.15142859663431	-0.269672084001556	0.00864245321250719	0.281795674010581	0.677956155679718	-0.416625455595046
"TRINITY_DN5651_c0_g1_i1"	-0.297538029504691	0.442461573936238	-0.0630646842977768	-0.128264553319839	-0.236030016143309	0.408011361292878
"TRINITY_DN5692_c0_g1_i2"	0.388333548458522	-0.426184669865477	-0.160265046214846	0.232695654694213	0.890982090099024	-0.636689822917253
"TRINITY_DN5654_c0_g1_i7"	0.156991163165607	-0.468543746090048	-0.059544397871945	0.312814136585101	0.906103067718562	-0.788401140876698
"TRINITY_DN5608_c0_g1_i1"	0.389385397095937	-0.587736677997044	-0.0743119691366565	0.218147306706271	0.953180630077276	-0.823703752739912
"TRINITY_DN5697_c1_g2_i1"	0.174471492010425	-0.496927220746486	-0.255239274122286	0.21869180878259	0.889618779461013	-0.633596195325539
"TRINITY_DN5695_c0_g2_i1"	0.027783694764999	-0.441346085063772	-0.359932695193535	0.18912393813404	0.618658705713057	-0.318727383228237
"TRINITY_DN5695_c0_g1_i1"	0.119810287806679	-0.411278591467385	-0.387369005287097	0.3706649709184	0.468490889447978	-0.351912754391173
"TRINITY_DN5695_c0_g1_i2"	-0.219717413985999	0.050178365096368	0.573198723519258	-0.198771473032507	0.220564074456448	-0.251271615962442
"TRINITY_DN5695_c1_g1_i1"	0.184742670458737	-0.46252486714009	-0.124659788221063	0.409526966609407	0.372645960497474	-0.228363626139047
"TRINITY_DN5695_c0_g3_i1"	0.27668055261423	-0.610120826818019	-0.325151465712294	0.175859503384247	0.931973968071899	-0.639626515267851
"TRINITY_DN5634_c0_g1_i1"	0.372224949166489	-0.580388846862111	-0.248583379036666	0.209692907677787	0.979785915883756	-0.73287104781795
"TRINITY_DN5649_c0_g1_i21"	0.256376614732888	-0.621326592376467	-0.319035908916506	0.185547930158038	0.871799569072878	-0.647675550864472
"TRINITY_DN5649_c0_g1_i23"	-0.00985734970578392	-0.273106305019623	-0.0631893263051543	0.12877701831853	0.423877631541036	-0.163746043010654
"TRINITY_DN5649_c0_g1_i26"	-0.192417923275514	-0.0940843223515843	-0.301173464767313	0.191754927636948	-0.0908789580793018	0.193083440650445
"TRINITY_DN5617_c0_g1_i1"	0.0611070677521942	-0.205793952491456	-0.0587628632023652	0.113349380542445	0.764909311092489	-0.642490707197848
"TRINITY_DN5677_c0_g1_i3"	0.194015705057607	-0.367985962238549	0.496318205586397	0.0224421118574532	0.496277459016937	-0.734610747140743
"TRINITY_DN5677_c0_g1_i4"	-0.227084526484993	0.556605422929136	0.193455413908362	-0.0912915178243099	-0.134991496346006	0.255066188485859
"TRINITY_DN5696_c0_g1_i1"	0.262463294285897	-0.284333525663581	0.0928353221507586	-0.0221159846537767	0.614261950643106	-0.422763487554406
"TRINITY_DN5696_c0_g1_i2"	0.386463423698424	-0.424015008245958	-0.0908375020347478	0.19569134910406	0.819024427453477	-0.617209963386
"TRINITY_DN5624_c0_g1_i1"	0.172000444852416	-0.394489435790591	-0.129196107446447	0.0365566671812858	0.840024317660623	-0.566309327413269
"TRINITY_DN5660_c1_g1_i2"	0.27562095318283	-0.596390714300981	-0.414702834586433	0.229016192428615	0.842981951853669	-0.536116723328837
"TRINITY_DN5660_c2_g1_i1"	0.17125757627605	-0.503463260271351	-0.438495423467562	0.245703215502493	0.665019876977745	-0.325454091995058
"TRINITY_DN5660_c2_g1_i2"	0.286057117156931	-0.111279814721071	0.133813921218876	0.143762771862001	0.415552300252316	-0.284695725526634
"TRINITY_DN5671_c0_g1_i1"	-0.404672698526119	0.772056434336768	0.228671797851664	-0.317678721228714	-0.283013928569026	0.382166026566478
"TRINITY_DN5671_c0_g1_i12"	-0.153671600991734	0.703891351327716	0.3415888454652	-0.396260667477374	-0.182198431689483	0.229559361102871
"TRINITY_DN5671_c0_g1_i8"	-0.368021626666758	0.90931051930305	0.230644076791449	-0.264882221820743	-0.570013724782812	0.564307358063675
"TRINITY_DN5683_c0_g1_i1"	0.304897509793374	-0.665707540366513	-0.329335342702277	0.113810321179371	0.929737616863126	-0.70032499936725
"TRINITY_DN5658_c1_g1_i2"	-0.0309794333771263	0.219299286127828	0.859779942871772	0.0395853237357061	0.129807443533797	-0.389681094441527
"TRINITY_DN5642_c0_g1_i1"	-0.575190644556106	0.292101119509915	-0.116277963422867	-0.494955638950902	-0.561423921913604	0.810213086286439
"TRINITY_DN5642_c0_g1_i2"	-0.330618762697075	0.507860955420621	-0.212371983843056	-0.298330196815063	-0.608346980981575	0.855697950439591
"TRINITY_DN5642_c0_g1_i3"	-0.326190353253091	0.405579459500059	-0.174950936160718	-0.286870183955402	-0.757197419570419	0.911823413931507
"TRINITY_DN5681_c0_g1_i1"	0.095332371244796	-0.0599960672143399	-0.172112539743088	-0.154557423429891	-0.0307289975688756	0.224175823595933
"TRINITY_DN5622_c0_g1_i1"	0.380895454018042	-0.535073445850745	-0.17197623069028	0.156486178476097	0.8448618723915	-0.771088916020075
"TRINITY_DN5699_c0_g1_i3"	-0.101499992992365	0.31718049868173	-0.306746759722109	-0.0216838071502439	-0.256496111717448	0.321632546798953
"TRINITY_DN5635_c0_g1_i1"	0.334857922144756	-0.596803196781618	-0.19893906613659	0.267354270084799	0.965133381061685	-0.834303733166438
"TRINITY_DN5611_c0_g2_i2"	0.35510282180111	-0.287834332360616	0.0159081622988048	0.305226092132271	0.786382891418978	-0.671058245327724
"TRINITY_DN37977_c0_g1_i1"	-0.423628027678946	0.877657114505026	0.396470931834146	-0.169632873903572	-0.409898785346291	0.275752487399551
"TRINITY_DN37897_c0_g1_i1"	-0.169275262797927	0.280051733374502	0.355398682674758	-0.177263525056258	0.100688274974462	-0.153448325489927
"TRINITY_DN37941_c0_g1_i1"	0.125918650259526	-0.368857199467243	-0.263423651003291	0.952190190956374	0.289088352511947	-0.381163145154212
"TRINITY_DN28830_c0_g1_i1"	0.347116313629907	-0.596924582024491	-0.104541260615135	0.263281664793004	0.963012216384134	-0.847964405081679
"TRINITY_DN28802_c0_g1_i1"	0.514206020459487	-0.571647498956534	-0.0877454922791844	0.347906611766174	0.859324362157846	-0.712101482947447
"TRINITY_DN28816_c0_g1_i1"	0.138747276122334	-0.262959575300069	0.0317803568296889	0.252672672470403	0.774529321706164	-0.548606240071313
"TRINITY_DN12423_c0_g2_i1"	0.0546746638428186	0.184151586492003	0.0428110504938764	0.107944271340929	0.351728670665573	-0.221343489994632
