Q32PD0	GO:0005730;GO:0032040;GO:0006364
P55853	GO:0005694;GO:0005737;GO:0005815;GO:0005634;GO:0005819;GO:0042802;GO:0031386;GO:0044389;GO:0009792;GO:0007080;GO:0051306;GO:0071965;GO:0046716;GO:0000122;GO:0045892;GO:0002119;GO:0110039;GO:0034502;GO:0016925;GO:0010468;GO:0031647;GO:0070194
P0DKJ9	GO:0005737;GO:0005634;GO:0008540;GO:0005524;GO:0016887;GO:0017025;GO:0045899;GO:0030163
P0CM25	GO:0005783;GO:0005524;GO:0016887;GO:0046872;GO:0045048
Q84WL9	GO:0005905;GO:0043231;GO:0005634;GO:0006897;GO:0015031;GO:0016192
Q95K50	GO:0005737;GO:0001650;GO:0070761;GO:0005732;GO:1990226;GO:0030515;GO:0042254
Q24297	GO:0071013;GO:0071011;GO:0030532;GO:0005732;GO:0005681;GO:0005685;GO:0003723;GO:0000398;GO:0000387
P0CG82	GO:0005737;GO:0005634
Q9FHN8	GO:0055028;GO:0005856;GO:0005871;GO:0005874;GO:0072686;GO:0009524;GO:0051015;GO:0043531;GO:0005524;GO:0008569;GO:0016887;GO:0005509;GO:0005516;GO:0008017;GO:0003777;GO:0016491;GO:0042803;GO:0019901;GO:0043622;GO:0001578;GO:0007018;GO:0010091;GO:0048629
Q9FPS4	GO:0005829;GO:0005634;GO:0004197;GO:0004843;GO:0016579;GO:0006511
Q9U1M2	GO:0016021;GO:0016020;GO:0050829;GO:0045089
Q3UMC0	GO:0005737;GO:0005739;GO:0005524;GO:0016887;GO:0007420;GO:0030154;GO:0007283
A8HYU5	GO:0005737;GO:0005524;GO:0046872;GO:0004478;GO:0006730;GO:0006556
P36616	GO:0032153;GO:0005737;GO:0005829;GO:0044732;GO:0005634;GO:0005524;GO:0004707;GO:0004674;GO:0050265;GO:0007049;GO:0051301;GO:0035556;GO:0018105;GO:0048026;GO:0046827;GO:0042307;GO:0010468;GO:0050684;GO:0000245
O01504	GO:0005840;GO:0003735;GO:0006414
Q4R537	GO:0005634;GO:0004521;GO:0046872;GO:0000469;GO:0042274
B3PWT5	GO:0005840;GO:0019843;GO:0003735;GO:0006412
Q4VRV8	GO:0005737;GO:0003938;GO:0046872;GO:0000166;GO:0006177
Q9VNE7	GO:0005938;GO:0005856;GO:0005886;GO:0017048;GO:0008360;GO:0035023;GO:0009966
