"id173_TPM"	"id272_TPM"
"TRINITY_DN7253_c0_g2_i1"	1556.34	132.981
"TRINITY_DN10204_c2_g1_i1"	777.303	1181.91
"TRINITY_DN17688_c3_g1_i2"	656.537	105.731
"TRINITY_DN17643_c0_g1_i1"	920.12	100.257
"TRINITY_DN16905_c21_g1_i1"	512.757	520.739
"TRINITY_DN2663_c1_g1_i1"	16850.6	316.606
"TRINITY_DN2663_c1_g1_i2"	18131.1	107.257
"TRINITY_DN2663_c0_g1_i1"	2605.85	36.5269
"TRINITY_DN24118_c0_g1_i1"	1210.81	273.946
"TRINITY_DN24062_c0_g1_i1"	185.91	792.969
"TRINITY_DN14167_c2_g1_i1"	99.2484	807.365
"TRINITY_DN29717_c3_g1_i1"	1239.68	409.376
"TRINITY_DN29755_c1_g1_i1"	371.525	11.8688
"TRINITY_DN193_c4_g1_i1"	342.161	49.2737
"TRINITY_DN21562_c1_g1_i1"	370.974	56.4068
"TRINITY_DN21562_c0_g1_i1"	606.103	49.2304
"TRINITY_DN21561_c0_g1_i2"	105.116	836.375
"TRINITY_DN21705_c0_g1_i4"	657.315	101.684
"TRINITY_DN19985_c0_g1_i1"	6942.07	95.843
"TRINITY_DN20025_c0_g1_i1"	1110.14	18.7783
"TRINITY_DN562_c0_g1_i15"	339.841	40.3068
"TRINITY_DN548_c0_g1_i1"	22933.7	213.305
"TRINITY_DN548_c0_g1_i10"	1583.31	89.5467
"TRINITY_DN548_c0_g1_i3"	36798	342.967
"TRINITY_DN548_c0_g1_i8"	5763.16	111.545
"TRINITY_DN568_c0_g1_i24"	930.115	499.631
"TRINITY_DN10946_c1_g1_i1"	735.529	172.375
"TRINITY_DN1280_c0_g2_i1"	257.798	1002.29
"TRINITY_DN1280_c0_g3_i1"	278.984	1030.1
"TRINITY_DN1290_c0_g1_i13"	207.113	1682.12
"TRINITY_DN35423_c3_g1_i1"	331.486	25.9523
"TRINITY_DN17250_c1_g1_i3"	170.048	819.785
"TRINITY_DN25491_c0_g1_i1"	842.99	125.656
"TRINITY_DN915_c1_g1_i2"	632.621	350.779
"TRINITY_DN6102_c5_g1_i1"	76.5436	794.005
"TRINITY_DN6120_c0_g1_i2"	611.231	299.931
"TRINITY_DN15646_c2_g1_i2"	1246.91	208.123
"TRINITY_DN32986_c1_g1_i1"	123.312	648.708
"TRINITY_DN14906_c0_g1_i6"	2341.37	85.962
"TRINITY_DN14906_c1_g1_i1"	2907.24	85.3753
"TRINITY_DN2457_c2_g1_i3"	421.369	32.5313
"TRINITY_DN2487_c2_g2_i1"	398.919	14.8629
"TRINITY_DN2431_c0_g2_i3"	87.1421	1061.37
"TRINITY_DN1546_c0_g1_i5"	476.737	335.882
"TRINITY_DN30362_c1_g1_i1"	3099.08	52.68
"TRINITY_DN21328_c0_g2_i1"	10170.3	299.761
"TRINITY_DN7379_c0_g1_i2"	578.57	165.745
"TRINITY_DN19516_c0_g1_i2"	9001.87	67.9265
"TRINITY_DN20496_c0_g1_i1"	152.321	833.799
"TRINITY_DN5580_c0_g2_i2"	415.103	653.69
"TRINITY_DN5534_c0_g1_i1"	81.7483	1759.75
"TRINITY_DN4629_c2_g1_i1"	2024.76	138.259
"TRINITY_DN18730_c0_g1_i1"	537.405	12.5819
"TRINITY_DN9505_c0_g1_i5"	71.7495	753.882
"TRINITY_DN1828_c0_g1_i1"	177.576	1746.09
"TRINITY_DN1861_c1_g2_i1"	540.824	13.2347
"TRINITY_DN16088_c0_g1_i4"	420.175	60.4372
"TRINITY_DN338_c0_g1_i1"	1305.73	82.7419
"TRINITY_DN15234_c0_g1_i2"	134.611	1866.9
"TRINITY_DN5075_c1_g1_i1"	74.8771	623.8
"TRINITY_DN773_c1_g1_i1"	250.33	841.386
"TRINITY_DN773_c1_g1_i2"	601.891	1209.36
"TRINITY_DN736_c6_g1_i1"	65.007	815.122
"TRINITY_DN743_c0_g2_i1"	790.739	157.834
"TRINITY_DN791_c23_g1_i2"	1003.02	379.593
"TRINITY_DN745_c1_g1_i2"	533.351	187.192
"TRINITY_DN13653_c0_g4_i1"	417.448	33.6268
"TRINITY_DN19031_c0_g1_i1"	273.465	2019.56
"TRINITY_DN18335_c1_g1_i1"	1058.79	64.2027
"TRINITY_DN18335_c0_g1_i10"	544.143	29.3488
"TRINITY_DN7103_c0_g1_i1"	529.407	26.7946
"TRINITY_DN16726_c0_g1_i1"	106.982	2157.53
"TRINITY_DN1696_c2_g1_i2"	368.392	901.203
"TRINITY_DN40403_c0_g1_i1"	267.721	534.551
"TRINITY_DN14064_c1_g2_i1"	456.545	1333.74
"TRINITY_DN29646_c1_g1_i1"	123.474	520.491
