"151"	"254"	"445"
"TRINITY_DN3947_c0_g1_i1"	1.04183	3.09852	1.91645
"TRINITY_DN4025_c0_g1_i53"	1.45543	5.52513	5.15945
"TRINITY_DN12696_c0_g1_i1"	3.93471	7.02178	5.79241
"TRINITY_DN12674_c0_g2_i1"	1.10758	3.59322	2.22855
"TRINITY_DN12708_c0_g3_i1"	2.25914	5.48502	4.02622
"TRINITY_DN12721_c0_g1_i1"	0.972248	1.3152	1.29667
"TRINITY_DN691_c9_g1_i1"	10.1184	25.943	16.4181
"TRINITY_DN647_c1_g1_i2"	0.479592	3.038	1.35618
"TRINITY_DN647_c34_g1_i1"	15.7201	58.4707	31.1657
"TRINITY_DN3161_c1_g1_i2"	3.52287	7.37749	6.17987
"TRINITY_DN3192_c0_g1_i8"	0	1.95809	1.88956
"TRINITY_DN3131_c3_g1_i3"	0.406409	1.14522	0.943474
"TRINITY_DN3129_c1_g1_i5"	0.0719417	2.69451	1.41735
"TRINITY_DN11878_c0_g1_i8"	1.32071	1.67327	1.52763
"TRINITY_DN11983_c1_g1_i2"	0.502425	2.6112	2.1462
"TRINITY_DN7904_c2_g1_i1"	1.082	5.84299	3.25144
"TRINITY_DN7984_c0_g1_i6"	0.266729	1.20709	0.613539
"TRINITY_DN10093_c0_g1_i2"	329.108	1152.99	1058.84
"TRINITY_DN10082_c0_g1_i2"	0	3.60168	3.15483
"TRINITY_DN10036_c1_g3_i1"	4.42896	4.91097	4.76323
"TRINITY_DN17367_c5_g1_i1"	0.728916	1.91564	1.36006
"TRINITY_DN5281_c0_g1_i2"	2.22523	4.25714	3.06951
"TRINITY_DN5264_c0_g3_i1"	2.25153	17.5804	8.77127
"TRINITY_DN4360_c5_g1_i1"	3.29426	6.2505	5.36552
"TRINITY_DN15790_c1_g1_i1"	16.7627	65.0046	63.8177
"TRINITY_DN15790_c1_g1_i2"	16.7627	65.0046	63.8177
"TRINITY_DN15799_c0_g1_i1"	39.041	61.2411	59.5482
"TRINITY_DN3408_c0_g2_i1"	0.222389	18.0388	6.9533
"TRINITY_DN3477_c0_g1_i3"	3.38776	20.0872	9.49437
"TRINITY_DN2561_c0_g1_i1"	3.35403	5.14168	4.39946
"TRINITY_DN2566_c0_g1_i3"	25.3858	45.4253	34.9847
"TRINITY_DN9293_c0_g1_i3"	0.456973	4.35024	2.0443
"TRINITY_DN9278_c0_g1_i4"	12.2182	16.9737	15.735
"TRINITY_DN8362_c0_g1_i11"	1.44484	2.76632	2.13334
"TRINITY_DN22191_c0_g1_i3"	2.01529	5.20676	4.88398
"TRINITY_DN13090_c0_g1_i3"	0.601638	1.27119	0.954831
"TRINITY_DN13065_c0_g1_i2"	0	0.856751	0.538692
"TRINITY_DN7472_c0_g1_i8"	49.958	52.1231	50.8365
"TRINITY_DN13147_c0_g1_i2"	96.0411	302.649	241.858
"TRINITY_DN21391_c0_g1_i9"	0	1.02966	0.562803
"TRINITY_DN11600_c0_g2_i2"	9.6016	12.8864	10.8958
"TRINITY_DN3743_c0_g1_i2"	64.6024	113.742	109.564
"TRINITY_DN3724_c0_g1_i8"	24.2752	35.779	29.5504
"TRINITY_DN18870_c0_g1_i1"	7.59162	10.5445	10.3516
"TRINITY_DN1952_c0_g1_i1"	4.40111	9.22552	7.50201
"TRINITY_DN1914_c0_g1_i1"	16.6287	20.124	19.7175
"TRINITY_DN6894_c0_g1_i8"	1.38166	12.0517	7.91547
"TRINITY_DN6895_c2_g1_i2"	0.661225	2.88748	1.90952
"TRINITY_DN24474_c0_g1_i1"	24.5283	139.864	92.3012
"TRINITY_DN5906_c1_g1_i10"	0	5.6067	3.63599
"TRINITY_DN15403_c0_g1_i2"	1.83544	5.20202	4.92936
"TRINITY_DN15403_c0_g1_i7"	4.90707	12.738	8.94362
"TRINITY_DN14595_c1_g2_i1"	0.298304	1.88639	1.12539
"TRINITY_DN4175_c0_g1_i10"	1.8991	15.3731	6.86709
"TRINITY_DN4175_c5_g2_i1"	1.09477	21.0095	10.8076
