Crab	HLH	HTL_or_HL	LHL	LTH_or_LH	HH	LL	Mixed	Total_genes
A	48	4,266	4,582	3,293	NA	NA	0	12,189
B	924	1,852	9,528	5,717	NA	NA	0	18,021
C	1,997	4,020	319	4,201	NA	NA	0	10,537
D	1,081	427	4,165	7,881	NA	NA	696	14,250
E	0	7,327	3,566	4,853	NA	NA	0	15,746
F	0	8,443	1,019	1,528	NA	NA	678	11,668
G	NA	1,835	NA	2,010	0	0	11,336	15,181
H	NA	2,241	NA	154	0	0	8,207	10,602
I	NA	304	NA	4,615	0	7,691	74	12,684
