"id118_TPM"	"id349_TPM"	"id481_TPM"
"TRINITY_DN3376_c0_g1_i1"	4.01174	1.94758	0.147301
"TRINITY_DN1579_c0_g1_i1"	4.02718	1.72522	0.648323
"TRINITY_DN1572_c0_g1_i1"	5.8739	2.15465	0.872124
"TRINITY_DN1532_c0_g1_i1"	9.33476	2.95342	0.34491
"TRINITY_DN4649_c0_g1_i1"	3.83169	2.25683	0.449522
"TRINITY_DN1072_c0_g1_i2"	7.04529	2.8614	0.216171
"TRINITY_DN368_c0_g2_i1"	8.30239	3.71097	0.326458
"TRINITY_DN316_c0_g1_i1"	4.32872	2.33318	0.190785
"TRINITY_DN364_c0_g1_i1"	4.37066	0.625234	0.417336
"TRINITY_DN319_c0_g1_i1"	6.87242	1.48142	0.576842
"TRINITY_DN4917_c0_g1_i1"	3.0027	2.23229	0
"TRINITY_DN4901_c0_g1_i1"	17.9939	12.8893	0.276737
"TRINITY_DN5033_c0_g1_i1"	10.668	8.24193	0.782822
"TRINITY_DN5050_c0_g1_i1"	11.4782	2.42449	0.199351
"TRINITY_DN5084_c0_g1_i1"	4.83591	1.63708	0.429573
"TRINITY_DN5015_c0_g1_i1"	5.94548	1.02763	0
"TRINITY_DN5027_c0_g1_i1"	3.34525	2.0667	0
"TRINITY_DN5013_c0_g1_i1"	5.47956	1.78608	0.141558
"TRINITY_DN5061_c0_g1_i1"	3.6957	1.2931	0.384068
"TRINITY_DN760_c0_g1_i1"	6.39277	2.77127	0.929544
"TRINITY_DN704_c0_g1_i1"	8.4603	2.25943	0.367979
"TRINITY_DN756_c0_g1_i1"	366.271	272.242	51.3771
"TRINITY_DN2236_c0_g1_i1"	5.27463	2.58618	1.28733
"TRINITY_DN2252_c0_g1_i1"	17.4529	2.35088	0.769755
"TRINITY_DN1344_c0_g1_i1"	4.96493	1.45817	0.113404
"TRINITY_DN1325_c0_g1_i1"	3.55846	2.42857	1.11733
"TRINITY_DN1319_c0_g1_i1"	7.94615	1.48854	0.463884
"TRINITY_DN1335_c0_g1_i1"	3.39733	1.74582	0
"TRINITY_DN1365_c0_g1_i1"	6.83852	4.57447	0.932831
"TRINITY_DN4404_c0_g1_i1"	5.1964	3.71568	0
