"072"	"294"
"TRINITY_DN2010_c0_g1_i1"	48.6876	39.2988
"TRINITY_DN2010_c2_g2_i15"	0.646214	11.6146
"TRINITY_DN2010_c5_g1_i3"	0	14.3618
"TRINITY_DN2010_c5_g1_i11"	0.632993	14.9434
"TRINITY_DN2010_c5_g1_i1"	0	19.212
"TRINITY_DN2010_c5_g1_i9"	1.86197	39.1228
"TRINITY_DN2020_c0_g1_i10"	0.0662762	20.2184
"TRINITY_DN2036_c0_g1_i1"	0.666979	19.6209
"TRINITY_DN2036_c0_g1_i5"	0.132024	55.2506
"TRINITY_DN2074_c6_g1_i1"	40.0518	21.4173
"TRINITY_DN2028_c1_g1_i20"	38.3307	51.2806
"TRINITY_DN2028_c1_g1_i21"	38.1765	68.7286
"TRINITY_DN26144_c0_g1_i1"	0	18.4036
"TRINITY_DN59780_c0_g1_i3"	3.62123	61.1267
"TRINITY_DN17080_c0_g1_i1"	1.96163	33.9642
"TRINITY_DN470_c2_g1_i15"	9.69501	46.6209
"TRINITY_DN470_c2_g1_i1"	0	22.4573
"TRINITY_DN470_c2_g1_i23"	6.68434	187.055
"TRINITY_DN470_c2_g1_i27"	6.1426	29.8322
"TRINITY_DN470_c10_g1_i1"	13.1233	46.8879
"TRINITY_DN426_c2_g1_i1"	0.848829	9.06779
"TRINITY_DN460_c12_g1_i2"	16.7503	40.736
"TRINITY_DN491_c6_g1_i1"	24.9759	42.507
"TRINITY_DN407_c0_g3_i25"	0	26.7584
"TRINITY_DN407_c33_g1_i2"	0	25.059
"TRINITY_DN7801_c0_g1_i3"	56.9585	29.243
"TRINITY_DN7873_c0_g1_i3"	15.8833	150.412
"TRINITY_DN1186_c0_g1_i17"	17.7121	39.227
"TRINITY_DN1125_c2_g1_i2"	0	31.9588
"TRINITY_DN1125_c2_g1_i9"	8.75206	100.626
"TRINITY_DN1172_c2_g2_i4"	20.7496	135.421
"TRINITY_DN1172_c2_g2_i10"	49.1562	60.463
"TRINITY_DN1189_c1_g1_i3"	64.9709	51.4175
"TRINITY_DN1114_c0_g1_i18"	10.7168	51.787
"TRINITY_DN1144_c0_g3_i1"	0.872081	42.5779
"TRINITY_DN67939_c0_g1_i12"	1.24273	9.23977
"TRINITY_DN6915_c0_g1_i1"	1.92431	38.2997
"TRINITY_DN6921_c0_g1_i8"	2.02283	39.4649
"TRINITY_DN6963_c0_g1_i13"	21.713	33.6294
"TRINITY_DN42571_c1_g1_i6"	53.2198	50.7758
"TRINITY_DN16281_c1_g1_i5"	10.3941	49.8915
"TRINITY_DN16231_c1_g1_i1"	15.4894	75.6874
"TRINITY_DN16298_c0_g1_i2"	29.5542	69.7825
"TRINITY_DN42674_c0_g2_i4"	0.109729	28.7114
"TRINITY_DN42674_c0_g2_i3"	5.40422	154.494
"TRINITY_DN42664_c0_g2_i1"	4.5539	55.3176
"TRINITY_DN84147_c0_g1_i1"	0.893046	10.2464
"TRINITY_DN16337_c4_g1_i7"	4.83198	27.8402
"TRINITY_DN16385_c0_g1_i2"	0	26.6267
"TRINITY_DN49920_c0_g1_i2"	37.114	59.6419
"TRINITY_DN75140_c0_g1_i9"	19.6282	104.154
"TRINITY_DN50803_c0_g1_i6"	0.503497	13.4264
"TRINITY_DN92356_c1_g1_i5"	4.40364	24.793
"TRINITY_DN92356_c1_g1_i12"	2.04062	21.3602
