"173"	"272"
"TRINITY_DN13591_c0_g2_i1"	278.815	0
"TRINITY_DN13552_c0_g1_i2"	213.447	0
"TRINITY_DN4007_c0_g1_i6"	276.743	0
"TRINITY_DN4007_c0_g1_i7"	796.438	0
"TRINITY_DN4007_c0_g1_i3"	460.889	0
"TRINITY_DN4007_c0_g1_i9"	231.083	0
"TRINITY_DN4007_c0_g1_i2"	2240.93	0
"TRINITY_DN4030_c3_g1_i1"	236.771	5.42484
"TRINITY_DN12640_c0_g1_i15"	496.296	0
"TRINITY_DN3192_c3_g1_i10"	2729.66	0
"TRINITY_DN3192_c3_g1_i2"	702.435	0
"TRINITY_DN3192_c3_g1_i3"	3397.21	0
"TRINITY_DN3138_c0_g1_i8"	712.588	0
"TRINITY_DN3157_c0_g1_i18"	163.118	0
"TRINITY_DN20977_c0_g1_i3"	443.412	0
"TRINITY_DN36247_c0_g1_i3"	241.62	0
"TRINITY_DN7978_c0_g1_i8"	175.725	0
"TRINITY_DN7964_c0_g1_i3"	188.993	0
"TRINITY_DN7975_c0_g1_i4"	365.322	0.0632203
"TRINITY_DN18142_c1_g1_i1"	298.182	0
"TRINITY_DN18164_c9_g1_i1"	402.651	0
"TRINITY_DN8076_c0_g1_i3"	213.018	0
"TRINITY_DN52609_c0_g1_i12"	579.835	0
"TRINITY_DN26329_c0_g1_i2"	308.097	0
"TRINITY_DN52704_c0_g1_i1"	357.092	0.132683
"TRINITY_DN94266_c0_g1_i2"	150.444	0
"TRINITY_DN17319_c0_g2_i21"	839.991	0
"TRINITY_DN17319_c0_g2_i17"	234.927	0
"TRINITY_DN17337_c0_g1_i3"	317.266	0
"TRINITY_DN25556_c0_g1_i2"	274.887	0.316286
"TRINITY_DN67131_c0_g1_i7"	451.832	0.0226866
"TRINITY_DN84492_c0_g1_i5"	1157.33	14.0256
"TRINITY_DN5223_c0_g1_i6"	303.966	0
"TRINITY_DN4345_c4_g1_i4"	377.028	14.8886
"TRINITY_DN24870_c0_g1_i1"	636.563	0
"TRINITY_DN24875_c0_g1_i3"	180.612	0
"TRINITY_DN3472_c1_g1_i1"	1609.57	0
"TRINITY_DN3472_c1_g1_i5"	583.915	0
"TRINITY_DN3479_c0_g2_i3"	161.874	0
"TRINITY_DN3477_c10_g1_i3"	402.048	0
