Accession_ID,kME_vals
Q9JLC3,0.894810279504459
Q9VCP0,0.92436111709977
Q9DDJ0,0.962105972941945
Q05319,0.754344801768768
Q05319,0
Q27081,0.697938675099225
Q27081,0.840314127539453
Q9VNA4,0
A7RRJ0,0.812215671600793
Q8UWA5,0.762846079285651
Q9VZS5,0.949726853489034
Q9VZS5,0.920828735979045
P31696,0.691439667805966
P17030,0
Q9VPW8,0
P45883,0.930112576700135
O17389,0.968926193918794
O17389,0.962494934633481
O17389,0.937687009548238
O17389,0.972687938869929
Q9HAU4,0.805027108467817
Q6PHF0,0
Q6PHF0,0.947031050249011
Q9Y5M8,0.750519025958332
O76756,0.911932494699843
A3FM55,0.806151707407359
Q6IRP0,0
P27615,0.916100910671613
P17032,0
P07764,0.894842295817789
Q9D4H8,0
P82927,0.935956693609657
Q5RBM1,0.857732185284811
Q09103,0
P11845,0.810599785159413
P90850,0.862551839415237
C3Y3G4,0
P21262,0.964636642277143
P21262,0.964636642277143
Q9UJW7,0
Q8BHN3,0
Q5ZJN2,0
A2AJ15,0
Q5E987,0.734369774142419
Q5E987,0.655251327401049
P31696,0.920322216352114
Q176V0,0.952470212192163
Q3T138,0.977255185540901
Q9UH92,0
Q7QH62,0
Q9CR63,0.931663561901462
P31696,0.910085428913822
Q6DFW4,0.946671458928954
P21329,0
P21329,0
P21329,0
Q3T0W7,0.548229262270544
Q3T0W7,0.951998023329766
P04394,0.508708420707884
P04394,0.676222550044923
P04394,0.425320702591019
P17057,0.719750890752914
P49803,0.50755633144196
P49803,0
Q641G7,0.853553705416574
Q26250,0
Q26250,0.929612154840782
A1Z7A6,0.814889143608636
A1Z7A6,0.86320077656006
A1Z7A6,0.3803335017771
A1Z7A6,0.3803335017771
A1Z7A6,0.949877581106939
Q9NQP4,0.964718553727149
Q2HJ58,0.864549865508594
Q2HJ58,0.893852994754937
Q6NYP0,0
B0W6M9,0
B0W6M9,0
Q9JKK1,0.841315887661
Q9VEN1,0
P08537,0.962083704409164
D3ZAT9,0.816488449882862
Q9DAC7,0.916160584909239
P57784,0.976014713677462
Q3SX11,0.651818220210964
Q15149,0.844797298755104
Q24117,0.746102741394933
P48809,0.949898772732954
Q9D753,0.838571285601474
P46776,0.705269653367911
P46776,0.705269653367911
P46776,0.870561896782623
Q9VIM5,0
Q9VIM5,0.334493365025201
Q25009,0
Q25009,0.877636676134772
Q9R0P6,0.5435173595434
Q9R0P6,0
Q9R0P6,0.793007873131581
O00217,0.943914311567453
P38040,0.960562911257729
P38040,0.960835536974414
P35687,0
P21460,0.0875912210924652
P55935,0.779985009861067
P55935,0.779985009861067
Q28GF4,0.895936244349968
P23026,0.819031977812183
Q7Q5R5,0.964686063709284
Q61471,0
C4NZN9,0.666755148516541
C4NZN9,0.841723425991655
P22589,0.911654479499514
O82390,0
O42395,0
